url	parent	ps	ns	text
https://harvard.edu/events	a			       Jump to main content     
https://harvard.edu/events	a			       Jump to search     
https://harvard.edu/events	a			       Jump to the footer     
https://harvard.edu/events	span			         Harvard University       
https://harvard.edu/events	a			     Menu   
https://harvard.edu/events	a		span	                 About                 
https://harvard.edu/events	span			                   Harvard                 
https://harvard.edu/events	a			Harvard at a Glance
https://harvard.edu/events	a			Harvard's President
https://harvard.edu/events	a			Harvard's Leadership
https://harvard.edu/events	a			Academic Experience
https://harvard.edu/events	a			Administrative Offices
https://harvard.edu/events	a			Directories
https://harvard.edu/events	a			Harvard in the Community
https://harvard.edu/events	a			News
https://harvard.edu/events	a		span	                 Admissions                 
https://harvard.edu/events	span			                   & Aid                 
https://harvard.edu/events	a			Undergraduate
https://harvard.edu/events	a			Graduate & Professional Schools
https://harvard.edu/events	a			Continuing Education
https://harvard.edu/events	a			Summer Programs
https://harvard.edu/events	a			                 Schools               
https://harvard.edu/events	a			Business
https://harvard.edu/events	a			College
https://harvard.edu/events	a			Continuing Education
https://harvard.edu/events	a			Dental
https://harvard.edu/events	a			Design
https://harvard.edu/events	a			Divinity
https://harvard.edu/events	a			Education
https://harvard.edu/events	a			Engineering
https://harvard.edu/events	a			Faculty of Arts & Sciences
https://harvard.edu/events	a			Government
https://harvard.edu/events	a			Graduate School
https://harvard.edu/events	a			Law
https://harvard.edu/events	a			Medical
https://harvard.edu/events	a			Public Health
https://harvard.edu/events	a			Radcliffe Institute
https://harvard.edu/events	a			                 On Campus               
https://harvard.edu/events	a			Arts and Humanities
https://harvard.edu/events	a			Athletics
https://harvard.edu/events	a			Commencement
https://harvard.edu/events	a			Employment
https://harvard.edu/events	a			Events
https://harvard.edu/events	a			HarvardX
https://harvard.edu/events	a			Library
https://harvard.edu/events	a			Museums
https://harvard.edu/events	a			Research
https://harvard.edu/events	a			Science
https://harvard.edu/events	a			Visit Harvard
https://harvard.edu/events	a			                 Gazette News               
https://harvard.edu/events	a			                 Events               
https://harvard.edu/events	a			                 Visit               
https://harvard.edu/events	a			                 Give               
https://harvard.edu/events	a			Faculty
https://harvard.edu/events	a			Staff
https://harvard.edu/events	a			Students
https://harvard.edu/events	a			Alumni
https://harvard.edu/events	a			Parents
https://harvard.edu/events	a			Visitors
https://harvard.edu/events	a			Media
https://harvard.edu/events	span			       Search:     
https://harvard.edu/events	span			       Open Search     
https://harvard.edu/events	span			On Campus
https://harvard.edu/events	h1			           Events        
https://harvard.edu/events	a			The Christmas Revels 2019: An American Celebration of the Winter Solstice
https://harvard.edu/events	p			         Thursday, December 26, 2019, 3:00pm      
https://harvard.edu/events	p			         Sanders Theatre, 45 Quincy St., Cambridge      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	a			Early Christian Africa: Arts of Transformation
https://harvard.edu/events	p			         Thursday, December 26, 2019, 3:00pm - 4:00pm      
https://harvard.edu/events	p			         Harvard Art Museums, 32 Quincy St. , Cambridge      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	a			Animal Talk Scavenger Hunt
https://harvard.edu/events	p			         Thursday, December 26, 2019, 9:00am - 5:00pm      
https://harvard.edu/events	p			         Harvard Museum of Natural History, 26 Oxford St. , Cambridge      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	a			Angela Davis Exhibition: Freed by the People
https://harvard.edu/events	p			         Friday, December 27, 2019, 9:00am - 5:00pm      
https://harvard.edu/events	p			         Schlesinger Library, First Floor Gallery, 3 James St., Cambridge, MA 02138      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	a			Resetting the Table: Food and Our Changing Tastes
https://harvard.edu/events	p			         Friday, December 27, 2019, 9:00am - 5:00pm      
https://harvard.edu/events	p			         Peabody Museum of Archaeology & Ethnology, 11 Divinity Ave., Cambridge      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	a			The Rittase Touch: Photographic Views of Harvard in the 1930s
https://harvard.edu/events	p			         Friday, December 27, 2019, 9:00am - 5:00pm      
https://harvard.edu/events	p			         Lammot du Pont Copeland Gallery, Pusey Library, Harvard Yard, Cambridge      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	a			Thumbelina: A Little Musical
https://harvard.edu/events	p			         Saturday, December 28, 2019, 10:00am - 11:00am      
https://harvard.edu/events	p			         Loeb Drama Center , 64 Brattle St., Cambridge      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	a			The Christmas Revels 2019: An American Celebration of the Winter Solstice
https://harvard.edu/events	p			         Saturday, December 28, 2019, 7:30pm      
https://harvard.edu/events	p			         Sanders Theatre, 45 Quincy St., Cambridge      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	a			Thumbelina: A Little Musical
https://harvard.edu/events	p			         Sunday, December 29, 2019, 10:00am - 11:00am      
https://harvard.edu/events	p			         Loeb Drama Center , 64 Brattle St., Cambridge      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	a			Resetting the Table: Food and Our Changing Tastes
https://harvard.edu/events	p			         Sunday, December 29, 2019, 9:00am - 5:00pm      
https://harvard.edu/events	p			         Peabody Museum of Archaeology & Ethnology, 11 Divinity Ave., Cambridge      
https://harvard.edu/events	a			         View more       
https://harvard.edu/events	div			       Thursday, December 26, 2019, 3:00pm     
https://harvard.edu/events	a			The Christmas Revels 2019: An American Celebration of the Winter Solstice
https://harvard.edu/events	p			         Sanders Theatre, 45 Quincy St., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about The Christmas Revels 2019: An American Celebration of the Winter Solstice           
https://harvard.edu/events	div			       Thursday, December 26, 2019, 3:00pm - 4:00pm     
https://harvard.edu/events	a			Early Christian Africa: Arts of Transformation
https://harvard.edu/events	p			         Harvard Art Museums, 32 Quincy St. , Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Early Christian Africa: Arts of Transformation           
https://harvard.edu/events	div			       Thursday, December 26, 2019, 9:00am - 5:00pm     
https://harvard.edu/events	a			Animal Talk Scavenger Hunt
https://harvard.edu/events	p			         Harvard Museum of Natural History, 26 Oxford St. , Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Animal Talk Scavenger Hunt           
https://harvard.edu/events	div			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/events	a			The Rittase Touch: Photographic Views of Harvard in the 1930s
https://harvard.edu/events	p			         Lammot du Pont Copeland Gallery, Pusey Library, Harvard Yard, Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about The Rittase Touch: Photographic Views of Harvard in the 1930s           
https://harvard.edu/events	div			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/events	a			Angela Davis Exhibition: Freed by the People
https://harvard.edu/events	p			         Schlesinger Library, First Floor Gallery, 3 James St., Cambridge, MA 02138       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Angela Davis Exhibition: Freed by the People           
https://harvard.edu/events	div			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/events	a			Resetting the Table: Food and Our Changing Tastes
https://harvard.edu/events	p			         Peabody Museum of Archaeology & Ethnology, 11 Divinity Ave., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Resetting the Table: Food and Our Changing Tastes           
https://harvard.edu/events	div			       Saturday, December 28, 2019, 10:00am - 11:00am     
https://harvard.edu/events	a			Thumbelina: A Little Musical
https://harvard.edu/events	p			         Loeb Drama Center , 64 Brattle St., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Thumbelina: A Little Musical           
https://harvard.edu/events	div			       Saturday, December 28, 2019, 7:30pm     
https://harvard.edu/events	a			The Christmas Revels 2019: An American Celebration of the Winter Solstice
https://harvard.edu/events	p			         Sanders Theatre, 45 Quincy St., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about The Christmas Revels 2019: An American Celebration of the Winter Solstice           
https://harvard.edu/events	div			       Saturday, December 28, 2019, 7:30pm - 10:30pm     
https://harvard.edu/events	a			Moby-Dick
https://harvard.edu/events	p			         American Repertory Theater, Loeb Drama Center, 64 Brattle St., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Moby-Dick           
https://harvard.edu/events	div			       Sunday, December 29, 2019, 10:00am - 11:00am     
https://harvard.edu/events	a			Thumbelina: A Little Musical
https://harvard.edu/events	p			         Loeb Drama Center , 64 Brattle St., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Thumbelina: A Little Musical           
https://harvard.edu/events	div			       Sunday, December 29, 2019, 9:00am - 5:00pm     
https://harvard.edu/events	a			Resetting the Table: Food and Our Changing Tastes
https://harvard.edu/events	p			         Peabody Museum of Archaeology & Ethnology, 11 Divinity Ave., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Resetting the Table: Food and Our Changing Tastes           
https://harvard.edu/events	div			       Monday, December 30, 2019, 11:00am - 4:00pm     
https://harvard.edu/events	a			Visual Science: The Art of Research
https://harvard.edu/events	p			         The Collection of Historical Scientific Instruments, 1 Oxford St. , Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Visual Science: The Art of Research           
https://harvard.edu/events	div			       Monday, December 30, 2019, 9:00am - 5:00pm     
https://harvard.edu/events	a			Animal Talk Scavenger Hunt
https://harvard.edu/events	p			         Harvard Museum of Natural History, 26 Oxford St. , Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Animal Talk Scavenger Hunt           
https://harvard.edu/events	div			       Tuesday, December 31, 2019, 8:00pm     
https://harvard.edu/events	a			Boston Baroque New Year's Celebration
https://harvard.edu/events	p			         Sanders Theatre, 45 Quincy St. , Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Boston Baroque New Year's Celebration           
https://harvard.edu/events	div			       Tuesday, December 31, 2019, 9:00pm - Wednesday, January 1, 2020, 12:00am     
https://harvard.edu/events	a			STL GLD PRESENTS THE NEW DECADE with Cliff Notez and Latrell James: Live @ OBERON
https://harvard.edu/events	p			         OBERON, 2 Arrow St., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about STL GLD PRESENTS THE NEW DECADE with Cliff Notez and Latrell James: Live @ OBERON           
https://harvard.edu/events	div			       Wednesday, January 1, 2020, 3:00pm     
https://harvard.edu/events	a			Boston Baroque New Year's Celebration
https://harvard.edu/events	p			         Sanders Theatre, 45 Quincy St., Cambridge,       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Boston Baroque New Year's Celebration           
https://harvard.edu/events	div			       Wednesday, January 1, 2020, 6:30pm - 8:30pm     
https://harvard.edu/events	a			"""Horse Feathers"""
https://harvard.edu/events	p			         Brattle Theatre, 40 Brattle St., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			"             Read more about ""Horse Feathers""           "
https://harvard.edu/events	div			       Thursday, January 2, 2020, 9:00am - 5:00pm     
https://harvard.edu/events	a			Animal Talk Scavenger Hunt
https://harvard.edu/events	p			         Harvard Museum of Natural History, 26 Oxford St. , Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			             Read more about Animal Talk Scavenger Hunt           
https://harvard.edu/events	div			       Thursday, January 2, 2020, 7:00pm - 9:00pm     
https://harvard.edu/events	a			"""The Cocoanuts"""
https://harvard.edu/events	p			         Brattle Theatre, 40 Brattle St., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			"             Read more about ""The Cocoanuts""           "
https://harvard.edu/events	div			       Friday, January 3, 2020, 5:00pm - 6:00pm     
https://harvard.edu/events	a			"""American Dharma"""
https://harvard.edu/events	p			         Brattle Theatre, 40 Brattle St., Cambridge       
https://harvard.edu/events	a		span	           Read more           
https://harvard.edu/events	span			"             Read more about ""American Dharma""           "
https://harvard.edu/events	a			Submit Harvard Events
https://harvard.edu/events	h2			Calendars
https://harvard.edu/events	a			American Repertory Theater
https://harvard.edu/events	a			Arnold Arboretum
https://harvard.edu/events	a			Carpenter Center for the Visual Arts
https://harvard.edu/events	a			Center for European Studies
https://harvard.edu/events	a			Center for American Political Studies
https://harvard.edu/events	a			Davis Center for Russian and Eurasian Studies
https://harvard.edu/events	a			Graduate School of Design
https://harvard.edu/events	a			Graduate School of Education
https://harvard.edu/events	a			Harvard Alumni Association
https://harvard.edu/events	a			Harvard Art Museums
https://harvard.edu/events	a			Harvard Divinity School
https://harvard.edu/events	a			Harvard Ed Portal
https://harvard.edu/events	a			Harvard Film Archive
https://harvard.edu/events	a			Harvard Gazette
https://harvard.edu/events	a			Harvard John A. Paulson School of Engineering and Applied Sciences
https://harvard.edu/events	a			Harvard Kennedy School
https://harvard.edu/events	a			Harvard Law School
https://harvard.edu/events	a			Harvard Library
https://harvard.edu/events	a			Harvard Medical School
https://harvard.edu/events	a			Harvard Museums of Science & Culture
https://harvard.edu/events	a			Harvard T.H. Chan School of Public Health
https://harvard.edu/events	a			Harvard University Center for the Environment
https://harvard.edu/events	a			Harvard University Press Author Events
https://harvard.edu/events	a			History Department
https://harvard.edu/events	a			Memorial Church
https://harvard.edu/events	a			Music Department
https://harvard.edu/events	a			Office for the Arts
https://harvard.edu/events	a			Peabody Museum
https://harvard.edu/events	a			Radcliffe Institute for Advanced Study
https://harvard.edu/events	a			Sustainability at Harvard
https://harvard.edu/events	a			   Jump to Top 
https://harvard.edu/events	h1			           Website         
https://harvard.edu/events	a			Accessibility
https://harvard.edu/events	a			Sitemap
https://harvard.edu/events	h2			           Get in Touch         
https://harvard.edu/events	a			Contact Harvard
https://harvard.edu/events	a			Maps & Directions
https://harvard.edu/events	a			Jobs
https://harvard.edu/events	a			Social Media
https://harvard.edu/events	h3			           Security & Brand         
https://harvard.edu/events	a			Privacy Statement
https://harvard.edu/events	a			Report Copyright Infringement
https://harvard.edu/events	a			Report Security Issue
https://harvard.edu/events	a			Trademark Notice
https://harvard.edu/events	h4			           Social Media & other Application Links         
https://harvard.edu/events	span			                   Facebook                 
https://harvard.edu/events	span			                   Twitter                 
https://harvard.edu/events	span			                   Instagram                 
https://harvard.edu/events	span			                   YouTube                 
https://harvard.edu/events	span			                   SoundCloud                 
https://harvard.edu/events	span			                   LinkedIn                 
https://harvard.edu/events	span			                   iTunes                 
https://harvard.edu/events	a			               Harvard Apps             
https://harvard.edu/events	p			       © 2019 The President and Fellows of Harvard College     
