url	parent	ps	ns	text
https://harvard.edu/help	a			       Jump to main content     
https://harvard.edu/help	a			       Jump to search     
https://harvard.edu/help	a			       Jump to the footer     
https://harvard.edu/help	span			         Harvard University       
https://harvard.edu/help	a			     Menu   
https://harvard.edu/help	a		span	                 About                 
https://harvard.edu/help	span			                   Harvard                 
https://harvard.edu/help	a			Harvard at a Glance
https://harvard.edu/help	a			Harvard's President
https://harvard.edu/help	a			Harvard's Leadership
https://harvard.edu/help	a			Academic Experience
https://harvard.edu/help	a			Administrative Offices
https://harvard.edu/help	a			Directories
https://harvard.edu/help	a			Harvard in the Community
https://harvard.edu/help	a			News
https://harvard.edu/help	a		span	                 Admissions                 
https://harvard.edu/help	span			                   & Aid                 
https://harvard.edu/help	a			Undergraduate
https://harvard.edu/help	a			Graduate & Professional Schools
https://harvard.edu/help	a			Continuing Education
https://harvard.edu/help	a			Summer Programs
https://harvard.edu/help	a			                 Schools               
https://harvard.edu/help	a			Business
https://harvard.edu/help	a			College
https://harvard.edu/help	a			Continuing Education
https://harvard.edu/help	a			Dental
https://harvard.edu/help	a			Design
https://harvard.edu/help	a			Divinity
https://harvard.edu/help	a			Education
https://harvard.edu/help	a			Engineering
https://harvard.edu/help	a			Faculty of Arts & Sciences
https://harvard.edu/help	a			Government
https://harvard.edu/help	a			Graduate School
https://harvard.edu/help	a			Law
https://harvard.edu/help	a			Medical
https://harvard.edu/help	a			Public Health
https://harvard.edu/help	a			Radcliffe Institute
https://harvard.edu/help	a			                 On Campus               
https://harvard.edu/help	a			Arts and Humanities
https://harvard.edu/help	a			Athletics
https://harvard.edu/help	a			Commencement
https://harvard.edu/help	a			Employment
https://harvard.edu/help	a			Events
https://harvard.edu/help	a			HarvardX
https://harvard.edu/help	a			Library
https://harvard.edu/help	a			Museums
https://harvard.edu/help	a			Research
https://harvard.edu/help	a			Science
https://harvard.edu/help	a			Visit Harvard
https://harvard.edu/help	a			                 Gazette News               
https://harvard.edu/help	a			                 Events               
https://harvard.edu/help	a			                 Visit               
https://harvard.edu/help	a			                 Give               
https://harvard.edu/help	a			Faculty
https://harvard.edu/help	a			Staff
https://harvard.edu/help	a			Students
https://harvard.edu/help	a			Alumni
https://harvard.edu/help	a			Parents
https://harvard.edu/help	a			Visitors
https://harvard.edu/help	a			Media
https://harvard.edu/help	span			       Search:     
https://harvard.edu/help	span			       Open Search     
https://harvard.edu/help	h1			           Help at Harvard        
https://harvard.edu/help	p			This is designed to be a central resource of services offering help at Harvard, with a focus on the physical and mental well-being of Harvard University students.
https://harvard.edu/help	h2			Emergency Assistance
https://harvard.edu/help	p		strong	For life-threatening concerns, 
https://harvard.edu/help	strong			dial 911
https://harvard.edu/help	p			 (9-911 from campus phones).
https://harvard.edu/help	h3			Physical & Mental Health
https://harvard.edu/help	a			Harvard University Health Services
https://harvard.edu/help	p		br	Tel: Smith Campus Center  (617) 495-5711 
https://harvard.edu/help	p		br	HBS (617) 495-6455 
https://harvard.edu/help	p		br	HLS (617) 495-4414 
https://harvard.edu/help	p			Longwood (617) 432-1370
https://harvard.edu/help	a			Urgent Care
https://harvard.edu/help	em			For non-life-threatening medical or mental health concerns
https://harvard.edu/help	p		br	Tel: (617) 495-5711 
https://harvard.edu/help	p			Hearing/speech impaired: (617) 495-1211
https://harvard.edu/help	a			Counseling & Mental Health Support
https://harvard.edu/help	p		br	Tel: (617) 495-2042 
https://harvard.edu/help	p			After Hours Urgent Care: (617) 495-5711
https://harvard.edu/help	a			Alcohol & Other Drug Services
https://harvard.edu/help	em			College, HLS, HBS students only
https://harvard.edu/help	p		br	Tel: (617) 496-0133 
https://harvard.edu/help	p			After Hours Urgent Care: (617) 495-5711
https://harvard.edu/help	a			Center for Wellness
https://harvard.edu/help	p			Tel: (617) 495-9629
https://harvard.edu/help	a			Office of Sexual Assault Prevention & Response
https://harvard.edu/help	p			24-hour hotline: (617) 495-9100
https://harvard.edu/help	a			Harvard Chaplains
https://harvard.edu/help	p			Tel: (617) 495-5529
https://harvard.edu/help	a			Harvard University Police Department (HUPD)
https://harvard.edu/help	p			Tel: (617) 495-1212 / Longwood: (617) 432-1212
https://harvard.edu/help	a			MessageMe
https://harvard.edu/help	em			Harvard’s emergency notification system
https://harvard.edu/help	p		a	Review and update your MessageMe profile at 
https://harvard.edu/help	a			messageme.harvard.edu
https://harvard.edu/help	h3			Disability Services
https://harvard.edu/help	a			Student Disability Coordinators
https://harvard.edu/help	p			Tel: (617) 495-1859
https://harvard.edu/help	a			FAS Accessible Education Office
https://harvard.edu/help	p			Tel: (617) 496-8707
https://harvard.edu/help	p		a	There are an extensive number of resources available to students across the University; for additional resources, please consult the 
https://harvard.edu/help	a			Student Resources
https://harvard.edu/help	p			 section.
https://harvard.edu/help	h3			Ombuds Services
https://harvard.edu/help	p			The ombudsman is an independent resource for problem resolution and works to ensure that all members of the University community are treated equitably and fairly. An ombudsman can provide confidential, informal assistance to help resolve issues related to the learning or workplace environment.
https://harvard.edu/help	a			University Ombudsman
https://harvard.edu/help	p		br	 (617) 495-7748 
https://harvard.edu/help	a			KSG
https://harvard.edu/help	p		br	 (617) 496-1775 
https://harvard.edu/help	a			Longwood
https://harvard.edu/help	p			 (617) 432-4040
https://harvard.edu/help	h3			Transportation
https://harvard.edu/help	a			HU Campus Escort Program (HUCEP)
https://harvard.edu/help	p		br	Cambridge: (617) 384-8237
https://harvard.edu/help	p		br	 HMS & HSDM: (617) 432-1379 
https://harvard.edu/help	p			HSPH: (617) 432-1040
https://harvard.edu/help	a			M2 Cambridge-Longwood Shuttle
https://harvard.edu/help	p			Tel: (617) 632-2310
https://harvard.edu/help	a			Campus Evening Van Service
https://harvard.edu/help	p			Tel: (617) 495-0400
https://harvard.edu/help	a			Daytime Van Service
https://harvard.edu/help	p			Tel: (617) 495-0400
https://harvard.edu/help	a			   Jump to Top 
https://harvard.edu/help	h1			           Website         
https://harvard.edu/help	a			Accessibility
https://harvard.edu/help	a			Sitemap
https://harvard.edu/help	h2			           Get in Touch         
https://harvard.edu/help	a			Contact Harvard
https://harvard.edu/help	a			Maps & Directions
https://harvard.edu/help	a			Jobs
https://harvard.edu/help	a			Social Media
https://harvard.edu/help	h3			           Security & Brand         
https://harvard.edu/help	a			Privacy Statement
https://harvard.edu/help	a			Report Copyright Infringement
https://harvard.edu/help	a			Report Security Issue
https://harvard.edu/help	a			Trademark Notice
https://harvard.edu/help	h4			           Social Media & other Application Links         
https://harvard.edu/help	span			                   Facebook                 
https://harvard.edu/help	span			                   Twitter                 
https://harvard.edu/help	span			                   Instagram                 
https://harvard.edu/help	span			                   YouTube                 
https://harvard.edu/help	span			                   SoundCloud                 
https://harvard.edu/help	span			                   LinkedIn                 
https://harvard.edu/help	span			                   iTunes                 
https://harvard.edu/help	a			               Harvard Apps             
https://harvard.edu/help	p			       © 2019 The President and Fellows of Harvard College     
