url	parent	ps	ns	text
https://mit.edu/search	a			Skip to content â
https://mit.edu/search	h1			Massachusetts Institute of Technology
https://mit.edu/search	a			Education
https://mit.edu/search	a			Research
https://mit.edu/search	a			Innovation
https://mit.edu/search	a			Admissions   Aid
https://mit.edu/search	a			Campus Life
https://mit.edu/search	a			News
https://mit.edu/search	a			Alumni
https://mit.edu/search	a			About MIT
https://mit.edu/search	button		span	More 
https://mit.edu/search	span			â
https://mit.edu/search	a			Admissions   Aid
https://mit.edu/search	a			Campus Life
https://mit.edu/search	a			News
https://mit.edu/search	a			Alumni
https://mit.edu/search	a			About MIT
https://mit.edu/search	span			Menu
https://mit.edu/search	span			â
https://mit.edu/search	span			Search
https://mit.edu/search	a			Menu
https://mit.edu/search	label			Search websites, locations, and people
https://mit.edu/search	span			             What are you looking for?           
https://mit.edu/search	span			See More Results
https://mit.edu/search	a			Suggestions or feedback?
https://mit.edu/search	span			Search Results
https://mit.edu/search	span			Massachusetts Institute of Technology
https://mit.edu/search	a			Education
https://mit.edu/search	a			Research
https://mit.edu/search	a			Innovation
https://mit.edu/search	a			Admissions   Aid
https://mit.edu/search	a			Campus Life
https://mit.edu/search	a		span	News
https://mit.edu/search	span			news.mit.edu
https://mit.edu/search	a			About MIT
https://mit.edu/search	a			Alumni
https://mit.edu/search	span			Join us in building a better world.
https://mit.edu/search	a			Massachusetts Institute of Technology
https://mit.edu/search	a			77 Massachusetts Avenue, Cambridge, MA, USA
https://mit.edu/search	a			Visit
https://mit.edu/search	a			Map
https://mit.edu/search	a			Events
https://mit.edu/search	a			People
https://mit.edu/search	a			Careers
https://mit.edu/search	a			Contact
https://mit.edu/search	a			Privacy
https://mit.edu/search	a			Accessibility
https://mit.edu/search	span			Social Media Hub
