url	parent	ps	ns	text
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Skip to Main Content
https://yale.edu/about-yale/leadership-organization/benjamin-polak	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
https://yale.edu/about-yale/leadership-organization/benjamin-polak	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
https://yale.edu/about-yale/leadership-organization/benjamin-polak	h1			Yale University
https://yale.edu/about-yale/leadership-organization/benjamin-polak	h2			Secondary Navigation
https://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Calendars
https://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Giving
https://yale.edu/about-yale/leadership-organization/benjamin-polak	span			News
https://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Directories
https://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Search
https://yale.edu/about-yale/leadership-organization/benjamin-polak	button			Navigation
https://yale.edu/about-yale/leadership-organization/benjamin-polak	label			Info for...
https://yale.edu/about-yale/leadership-organization/benjamin-polak	option			Students
https://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		Faculty
https://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		Staff
https://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		Alumni
https://yale.edu/about-yale/leadership-organization/benjamin-polak	h2			Main Navigation
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a			About Yale
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Leadership & Organization
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Yale Facts
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Traditions & History
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Yale & the World
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Visiting
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Academics
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Undergraduate Study
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Graduate & Professional Study
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Departments & Programs
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Global Education
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Summer Session
https://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Non-Degree Offerings
