url	parent	ps	ns	text
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Skip to Main Content
https://yale.edu/about-yale/leadership-organization/janet-lindner	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
https://yale.edu/about-yale/leadership-organization/janet-lindner	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
https://yale.edu/about-yale/leadership-organization/janet-lindner	h1			Yale University
https://yale.edu/about-yale/leadership-organization/janet-lindner	h2			Secondary Navigation
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			Calendars
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			Giving
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			News
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			Directories
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			Search
https://yale.edu/about-yale/leadership-organization/janet-lindner	button			Navigation
https://yale.edu/about-yale/leadership-organization/janet-lindner	label			Info for...
https://yale.edu/about-yale/leadership-organization/janet-lindner	option			Students
https://yale.edu/about-yale/leadership-organization/janet-lindner	option	option		Faculty
https://yale.edu/about-yale/leadership-organization/janet-lindner	option	option		Staff
https://yale.edu/about-yale/leadership-organization/janet-lindner	option	option		Alumni
https://yale.edu/about-yale/leadership-organization/janet-lindner	h2			Main Navigation
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			About Yale
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Leadership & Organization
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Yale Facts
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Traditions & History
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Yale & the World
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Visiting
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Academics
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Undergraduate Study
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Graduate & Professional Study
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Departments & Programs
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Global Education
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Summer Session
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Non-Degree Offerings
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Online Learning
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Admissions
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Undergraduate
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Graduate & Professional Schools
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Financial Aid
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		International Students
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Summer Session
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Non-Degree Seeking Students
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		World Fellows Program
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Research & Collections
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Research at Yale
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Libraries
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Museums & Galleries
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Centers & Institutes
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Digital Collections & Open Resources
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Life at Yale
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Arts & Culture
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Athletics & Recreation
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Belonging at Yale
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Health & Wellness
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		New Haven
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Residential Life
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Service
https://yale.edu/about-yale/leadership-organization/janet-lindner	a	a		Student Groups & Activities
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			Search
https://yale.edu/about-yale/leadership-organization/janet-lindner	h2			Breadcrumb
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			Home
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			About Yale
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			Leadership & Organization
https://yale.edu/about-yale/leadership-organization/janet-lindner	span			Janet E. Lindner, B.S., M.P.A., Ed.D.
https://yale.edu/about-yale/leadership-organization/janet-lindner	h2			Additional Navigation
https://yale.edu/about-yale/leadership-organization/janet-lindner	h2			Sub Navigation
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Leadership & Organization
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Yale Facts
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Traditions & History
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Yale & the World
https://yale.edu/about-yale/leadership-organization/janet-lindner	a			Visiting
https://yale.edu/about-yale/leadership-organization/janet-lindner	h1			Janet E. Lindner, B.S., M.P.A., Ed.D.
https://yale.edu/about-yale/leadership-organization/janet-lindner	div			Vice President for Human Resources & Administration
https://yale.edu/about-yale/leadership-organization/janet-lindner	p			Janet Lindner was appointed vice president for human resources and administration on July 1, 2017.
https://yale.edu/about-yale/leadership-organization/janet-lindner	p			As the university’s chief human resources officer, Ms. Lindner is an officer of the university and has overall responsibility for recruitment and staffing, talent development, diversity, organizational excellence, compensation, benefits, labor relations, employee relations, employee communications, HRIS, the employee service center and labor-management partnerships. Ms. Lindner is also responsible for a wide range of the university’s administrative operations including police, security operations and systems, emergency management, travel and transportation, housing, publishing and other essential service functions.
https://yale.edu/about-yale/leadership-organization/janet-lindner	p			Before her appointment as vice president, Ms. Lindner served in many key roles at Yale, including deputy vice president immediately prior to her current appointment. During Yale’s 2012 presidential search, she served as staff liaison to the Yale Corporation presidential search committee. Previous assignments have included start-up operations at the West Campus; responsibility for administrative and business areas within the Finance & Administration division, including university procurement and the data warehouse; start-up and management of the university’s cooperative labor-management partnership; and, within the Secretary’s Office, director of the university’s Tercentennial celebration.
