url	parent	ps	ns	text
https://yale.edu/contact-us	a			Skip to Main Content
https://yale.edu/contact-us	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
https://yale.edu/contact-us	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
https://yale.edu/contact-us	h1			Yale University
https://yale.edu/contact-us	h2			Secondary Navigation
https://yale.edu/contact-us	span			Calendars
https://yale.edu/contact-us	span			Giving
https://yale.edu/contact-us	span			News
https://yale.edu/contact-us	span			Directories
https://yale.edu/contact-us	span			Search
https://yale.edu/contact-us	button			Navigation
https://yale.edu/contact-us	label			Info for...
https://yale.edu/contact-us	option			Students
https://yale.edu/contact-us	option	option		Faculty
https://yale.edu/contact-us	option	option		Staff
https://yale.edu/contact-us	option	option		Alumni
https://yale.edu/contact-us	h2			Main Navigation
https://yale.edu/contact-us	a			About Yale
https://yale.edu/contact-us	a			Leadership & Organization
https://yale.edu/contact-us	a	a		Yale Facts
https://yale.edu/contact-us	a	a		Traditions & History
https://yale.edu/contact-us	a	a		Yale & the World
https://yale.edu/contact-us	a	a		Visiting
https://yale.edu/contact-us	a			Academics
https://yale.edu/contact-us	a			Undergraduate Study
https://yale.edu/contact-us	a	a		Graduate & Professional Study
https://yale.edu/contact-us	a	a		Departments & Programs
https://yale.edu/contact-us	a	a		Global Education
https://yale.edu/contact-us	a	a		Summer Session
https://yale.edu/contact-us	a	a		Non-Degree Offerings
https://yale.edu/contact-us	a	a		Online Learning
https://yale.edu/contact-us	a			Admissions
https://yale.edu/contact-us	a			Undergraduate
https://yale.edu/contact-us	a	a		Graduate & Professional Schools
https://yale.edu/contact-us	a	a		Financial Aid
https://yale.edu/contact-us	a	a		International Students
https://yale.edu/contact-us	a	a		Summer Session
https://yale.edu/contact-us	a	a		Non-Degree Seeking Students
https://yale.edu/contact-us	a	a		World Fellows Program
https://yale.edu/contact-us	a			Research & Collections
https://yale.edu/contact-us	a			Research at Yale
https://yale.edu/contact-us	a	a		Libraries
https://yale.edu/contact-us	a	a		Museums & Galleries
https://yale.edu/contact-us	a	a		Centers & Institutes
https://yale.edu/contact-us	a	a		Digital Collections & Open Resources
https://yale.edu/contact-us	a			Life at Yale
https://yale.edu/contact-us	a			Arts & Culture
https://yale.edu/contact-us	a	a		Athletics & Recreation
https://yale.edu/contact-us	a	a		Belonging at Yale
https://yale.edu/contact-us	a	a		Health & Wellness
https://yale.edu/contact-us	a	a		New Haven
https://yale.edu/contact-us	a	a		Residential Life
https://yale.edu/contact-us	a	a		Service
https://yale.edu/contact-us	a	a		Student Groups & Activities
https://yale.edu/contact-us	span			Search
https://yale.edu/contact-us	h2			Breadcrumb
https://yale.edu/contact-us	span			Home
https://yale.edu/contact-us	span			Contact Us
https://yale.edu/contact-us	h1			Contact Us
https://yale.edu/contact-us	h2			General Information
https://yale.edu/contact-us	p		br	Yale University
https://yale.edu/contact-us	p		br	 New Haven, CT 06520
https://yale.edu/contact-us	p			 203-432-4771
https://yale.edu/contact-us	a			Mailing Addresses
https://yale.edu/contact-us	a			Campus Map
https://yale.edu/contact-us	h2			Admissions
https://yale.edu/contact-us	a			Undergraduate
https://yale.edu/contact-us	p			 203-432-9316
https://yale.edu/contact-us	a			Graduate & Professional
https://yale.edu/contact-us	h2			Employment
https://yale.edu/contact-us	strong			Human Resources
https://yale.edu/contact-us	a	br		employee.services@yale.edu
https://yale.edu/contact-us	strong			Employee Service Center
https://yale.edu/contact-us	a	br		employee.services@yale.edu
https://yale.edu/contact-us	p			 203-432-5552
https://yale.edu/contact-us	h2			Media Contacts
https://yale.edu/contact-us	a			Office of Public Affairs & Communications
https://yale.edu/contact-us	p			 203-432-1345
https://yale.edu/contact-us	h2			Visiting
https://yale.edu/contact-us	a			Visitor Center
https://yale.edu/contact-us	p			 203-432-2300
https://yale.edu/contact-us	h2			Yale.edu
https://yale.edu/contact-us	a			Email the web editor
https://yale.edu/contact-us	h2			University Directories
https://yale.edu/contact-us	p			Find a person or browse a list of offices and organizations for key contact info.
https://yale.edu/contact-us	a		span	Go to directories 
https://yale.edu/contact-us	span			University Directories
https://yale.edu/contact-us	label			Info for Visiting Yale
https://yale.edu/contact-us	option			Campus Tours
https://yale.edu/contact-us	option	option		Maps & Directions
https://yale.edu/contact-us	option	option		Yale Visitor Center
https://yale.edu/contact-us	option	option		Museums & Galleries
https://yale.edu/contact-us	option	option		New Haven
https://yale.edu/contact-us	option	option		More Visit Resources
https://yale.edu/contact-us	h2			Helpful Links
https://yale.edu/contact-us	a			Contact Us
https://yale.edu/contact-us	a	a		Yale West Campus
https://yale.edu/contact-us	a	a		Employment Opportunities
https://yale.edu/contact-us	a	a		Privacy Policy
https://yale.edu/contact-us	a	a		Emergency Info
https://yale.edu/contact-us	a	a		Public Safety
https://yale.edu/contact-us	a	a		Nondiscrimination & Title IX
https://yale.edu/contact-us	a	a		Accessibility at Yale
https://yale.edu/contact-us	a	a		Yale Mobile
https://yale.edu/contact-us	h2			Visiting Yale
https://yale.edu/contact-us	a			Campus Tours
https://yale.edu/contact-us	a	a		Maps & Directions
https://yale.edu/contact-us	a	a		Yale Visitor Center
https://yale.edu/contact-us	a	a		Museums & Galleries
https://yale.edu/contact-us	a	a		New Haven
https://yale.edu/contact-us	a	a		More Visit Resources
https://yale.edu/contact-us	figcaption			Yale on Instagram
https://yale.edu/contact-us	h2			Social Links
https://yale.edu/contact-us	span	span		Facebook
https://yale.edu/contact-us	span	span		Twitter
https://yale.edu/contact-us	span	span		YouTube
https://yale.edu/contact-us	span	span		Sina Weibo
https://yale.edu/contact-us	a			All Social Media
https://yale.edu/contact-us	span			Copyright © 2019 Yale University
https://yale.edu/contact-us	span			All Rights Reserved
https://yale.edu/contact-us	a			Contact Web Editor
https://yale.edu/contact-us	a			Back to top
https://yale.edu/contact-us	h1			Yale University
https://yale.edu/contact-us	span			Search
https://yale.edu/contact-us	button		span	      Navigation      
https://yale.edu/contact-us	h2			Main Navigation
https://yale.edu/contact-us	span			About Yale
https://yale.edu/contact-us	span			Academics
https://yale.edu/contact-us	span			Admissions
https://yale.edu/contact-us	span			Research & Collections
https://yale.edu/contact-us	span			Life at Yale
https://yale.edu/contact-us	h2			Secondary Navigation
https://yale.edu/contact-us	span			Calendars
