url	parent	ps	ns	text
https://www.bmats.edu/donor/2019-annual-report	span			Email us
https://www.bmats.edu/donor/2019-annual-report	span			Twitter - BMA Seminary
https://www.bmats.edu/donor/2019-annual-report	span			Facebook - BMA Seminary
https://www.bmats.edu/donor/2019-annual-report	a			Library
https://www.bmats.edu/donor/2019-annual-report	a			Current Students
https://www.bmats.edu/donor/2019-annual-report	a			Moodle
https://www.bmats.edu/donor/2019-annual-report	a			DiscipleLink
https://www.bmats.edu/donor/2019-annual-report	a			Alumni/Donors
https://www.bmats.edu/donor/2019-annual-report	a			Blog
https://www.bmats.edu/donor/2019-annual-report	div			A Christ-Centered Seminary
https://www.bmats.edu/donor/2019-annual-report	a			About Us
https://www.bmats.edu/donor/2019-annual-report	a			Degrees
https://www.bmats.edu/donor/2019-annual-report	a			Admissions
https://www.bmats.edu/donor/2019-annual-report	a			Prospective Students
https://www.bmats.edu/donor/2019-annual-report	a			Seminary Online
https://www.bmats.edu/donor/2019-annual-report	a			Seminary On-Campus
https://www.bmats.edu/donor/2019-annual-report	a			Get More Info
https://www.bmats.edu/donor/2019-annual-report	h1			2019 Annual Report
https://www.bmats.edu/donor/2019-annual-report	a			Donor Home
https://www.bmats.edu/donor/2019-annual-report	a			Heritage Brick Walk
https://www.bmats.edu/donor/2019-annual-report	a			Seminary Friends Dinner
https://www.bmats.edu/donor/2019-annual-report	a			Update Alumni Info
https://www.bmats.edu/donor/2019-annual-report	a			2019 Annual Report
https://www.bmats.edu/donor/2019-annual-report	a			Alumni Association
https://www.bmats.edu/donor/2019-annual-report	a			Alumni Scholarships
https://www.bmats.edu/donor/2019-annual-report	h4		span	Baptist Missionary Association Theological Seminary
https://www.bmats.edu/donor/2019-annual-report	p		br	P.O. Box 670
https://www.bmats.edu/donor/2019-annual-report	p		br	 1530 E. Pine Street
https://www.bmats.edu/donor/2019-annual-report	p		br	 Jacksonville, TX 75766
https://www.bmats.edu/donor/2019-annual-report	p		br	 Phone: 903-586-2501
https://www.bmats.edu/donor/2019-annual-report	p		br	 Toll Free: 800-259-5673
https://www.bmats.edu/donor/2019-annual-report	p		br	 Fax: 903-586-0378
https://www.bmats.edu/donor/2019-annual-report	p		a	 Email: 
https://www.bmats.edu/donor/2019-annual-report	a			bmats@bmats.edu
https://www.bmats.edu/donor/2019-annual-report	h4		span	Support Us
https://www.bmats.edu/donor/2019-annual-report	a			Donate Now
https://www.bmats.edu/donor/2019-annual-report	a			Alumni Update
https://www.bmats.edu/donor/2019-annual-report	a			Scroll & Parchment Society
https://www.bmats.edu/donor/2019-annual-report	h4		span	Admissions
https://www.bmats.edu/donor/2019-annual-report	a			Admissions Info
https://www.bmats.edu/donor/2019-annual-report	a			Online Application
https://www.bmats.edu/donor/2019-annual-report	a			Graduate Admissions
https://www.bmats.edu/donor/2019-annual-report	a			Undergraduate Admissions
https://www.bmats.edu/donor/2019-annual-report	a			International Admissions
https://www.bmats.edu/donor/2019-annual-report	p		br	BMA Seminary is accredited by the Southern Association of Colleges and Schools Commission on Colleges to award associate, bachelors, and masters degrees.
https://www.bmats.edu/donor/2019-annual-report	p			 BMA Seminary (Graduate Studies Division) is accredited by the Commission on Accrediting of the Association of Theological Schools to award the Master of Divinity, the Master of Arts in Church Ministries, Master of Arts (Pastoral Theology), and the Master of Arts (Religion) degree.
