url	parent	ps	ns	text
https://kravislab.cmc.edu	a			Home
https://kravislab.cmc.edu	a			About Us
https://kravislab.cmc.edu	a			Meet the Team
https://kravislab.cmc.edu	a			Student Staff
https://kravislab.cmc.edu	a			Partners
https://kravislab.cmc.edu	a			Success Programs
https://kravislab.cmc.edu	a			Core Skills for Success
https://kravislab.cmc.edu	a			First Years Lift Off
https://kravislab.cmc.edu	a			Sophomore Challenge
https://kravislab.cmc.edu	a			Women of Color Fellowship
https://kravislab.cmc.edu	a			Moonshot House – Students
https://kravislab.cmc.edu	a			Social Innovation
https://kravislab.cmc.edu	a			Dinner With World Changers
https://kravislab.cmc.edu	a			Hult Prize
https://kravislab.cmc.edu	a			International Moonshot House
https://kravislab.cmc.edu	a			Curricular
https://kravislab.cmc.edu	a			Community Impact
https://kravislab.cmc.edu	a			Non-Profit Success Series
https://kravislab.cmc.edu	a			Fellowship
https://kravislab.cmc.edu	a			Opportunities
https://kravislab.cmc.edu	a			Jobs
https://kravislab.cmc.edu	a			Internships
https://kravislab.cmc.edu	a			Student Fellowship
https://kravislab.cmc.edu	a			#CMCHacks
https://kravislab.cmc.edu	a			News
https://kravislab.cmc.edu	a			Our Impact
https://kravislab.cmc.edu	a			Photo Gallery
https://kravislab.cmc.edu	a			Resources
https://kravislab.cmc.edu	a			Calendar
https://kravislab.cmc.edu	span			Select Page
https://kravislab.cmc.edu	h2			Improve Yourself
https://kravislab.cmc.edu	p			Learn Core Skills for Success
https://kravislab.cmc.edu	h2			Impact Our Community
https://kravislab.cmc.edu	div	h2		Build Local Expertise
https://kravislab.cmc.edu	h2			Change the World
https://kravislab.cmc.edu	div	h2		Design Big, Bold, Audacious Solutions
https://kravislab.cmc.edu	p			The Kravis Lab for Social Impact aspires to be the world’s premier center for social entrepreneurship and innovation – a model for colleges and universities across the world.
https://kravislab.cmc.edu	p			How do we achieve this? We do it by building a program for student success. Our goal is for every student on campus to learn the core skills that they need to thrive in the 21st century. We want to show students how to do good in the world, while also doing well personally and professionally.
https://kravislab.cmc.edu	p			In practice, there are three pillars to the program:
https://kravislab.cmc.edu	p			1. Helping students learn the essential skills for success: We have identified 9 central skills that are rarely taught in schools, but which are necessary for people to succeed in the coming decades. We can train students in these skills; we can measure their progress and growth. Our ultimate goal is for all students on campus to attain mastery in at least one of these core skills.
