url	parent	ps	ns	text
https://www.future.edu	label			Search for:
https://www.future.edu	span			Search
https://www.future.edu	a	div		Powered by Ajaxy
https://www.future.edu	a			Blog
https://www.future.edu	span			MENU
https://www.future.edu	span	span		MENU
https://www.future.edu	a		span	ABOUT
https://www.future.edu	a			ABOUT US
https://www.future.edu	a			FACULTY AND STAFF
https://www.future.edu	a			TRUSTEES
https://www.future.edu	a			ADVISORY COUNCIL
https://www.future.edu	a			PRESIDENT
https://www.future.edu	a		span	ACADEMICS
https://www.future.edu	a			MASTER'S DEGREE
https://www.future.edu	a			FOR STUDENTS
https://www.future.edu	a			CERTIFICATES/DIPLOMAS
https://www.future.edu	a			AMERICORPS MEMBERS
https://www.future.edu	a			BENDING BAMBOO
https://www.future.edu	a			WORLD SCOUTS
https://www.future.edu	a			COVERDELL
https://www.future.edu	a			ADMISSIONS
https://www.future.edu	a		span	RESEARCH
https://www.future.edu	a			CLIMATE CHANGE
https://www.future.edu	a			CONSERVATION
https://www.future.edu	a			HEALTH
https://www.future.edu	a			MAPLE SYRUP INITIATIVE
https://www.future.edu	a			PEACE
https://www.future.edu	a			SEED-SCALE
https://www.future.edu	a			SOCIAL CHANGE
https://www.future.edu	a			FACULTY SCHOLARSHIP
https://www.future.edu	a			ALUMNI SCHOLARSHIP
https://www.future.edu	a			PUBLICATIONS
https://www.future.edu	a		span	CONTACT
https://www.future.edu	label			Your Name (required)
https://www.future.edu	label			Your Email (required)
https://www.future.edu	label			Subject (required)
https://www.future.edu	label			Your Message (required)
https://www.future.edu	label			Please leave this field empty.
https://www.future.edu	strong			Main Headquarters:
https://www.future.edu	div		br	 400 Road Less Traveled Rd
https://www.future.edu	div		br	 Franklin, WV 26807 USA
https://www.future.edu	div		br	 Fax: 304-358-7384
https://www.future.edu	div		br	 Phone: 304-358-2000
https://www.future.edu	div			 Email: info@future.edu
https://www.future.edu	a			VISIT
https://www.future.edu	a			BOOKSTORE
https://www.future.edu	a			GIVE
https://www.future.edu	a			ABOUT
https://www.future.edu	a			ACADEMICS
https://www.future.edu	a			MASTER’S DEGREE
https://www.future.edu	a			RESEARCH
https://www.future.edu	a			CONTACT
https://www.future.edu	h3			Your Future. Our Mission.
https://www.future.edu	span			Graduate Programs
https://www.future.edu	span			Learn how to create and lead sustainable communities through our accredited Master of Arts in Applied Community Development or Graduate Certificate Programs. Our distributed learning model offers students flexibility to complete our programs in their community without having to disrupt work and family commitments.
https://www.future.edu	span			Community & Research
https://www.future.edu	span			Institutional research focuses on community-based research, where community is a full partner. It unites scholars and practitioners at the local level. Disciplines include health, climate change, conservation, peace, and applied education. The university now has over one hundred publications describing methods and results. 
https://www.future.edu	span		a	Click 
https://www.future.edu	a			here
https://www.future.edu	span			 to see a summary of the overarching concept of SEED-SCALE
https://www.future.edu	span			Lifelong Learning
https://www.future.edu	span			A growing, organized, global network of alumni provides an excellent resource for fellow graduates entering the field. Future Generations University has a stake in the success of their graduates and their programs. Partners in research, training, and best practices are components on which Future Generations’ SEED-SCALE method developed.
https://www.future.edu	h2			Graduates expanding their work to larger areas:
https://www.future.edu	li			93%
https://www.future.edu	h2			Alumni receiving a promotion after their degree:
https://www.future.edu	li			90%
https://www.future.edu	li	li		10%
https://www.future.edu	h2			Alumni earning a salary increase:
https://www.future.edu	li			79%
https://www.future.edu	li	li		21%
https://www.future.edu	h2			Students starting new programs or organizations:
https://www.future.edu	li			68%
https://www.future.edu	li	li		32%
https://www.future.edu	span			CHANGE GROWS THROUGH
https://www.future.edu	h1			EMPOWERING PEOPLE
https://www.future.edu	span			Master of Arts in Applied Community Development
https://www.future.edu	span			Our 36-credit master’s degree is designed to fit students – your location, your interests, your impact. Learn to apply proven methods to create just and lasting change in your community. Part-time and Full-time options available. 
https://www.future.edu	a			Explore
https://www.future.edu	span			AmeriCorps Path
https://www.future.edu	span			Complete the Master of Arts in Applied Community Development online, part-time or full-time. AmeriCorps members integrate service-learning while earning credit toward the graduate degree. Segal Ed Award is matched up to $10,000.
https://www.future.edu	span			World Scouts Path
https://www.future.edu	span			Your commitment to Scouts is already changing lives and strengthening communities. With a Master of Arts in Applied Community Development, you can have more impact. In addition to the Master’s degree, you can also enroll in the Community Development Certificate. Start now!
https://www.future.edu	span			Bending Bamboo Path
https://www.future.edu	span			This applied Master of Arts places educators of English and Sustainable Development in different regions of Vietnam. North American and Vietnamese teachers collaborate in research, publishing, and delivery of new curricula and experiential learning on critical topics — climate, gender, equity, health, food, water, energy, and community.
https://www.future.edu	span			Peace Corps Coverdell Fellows Path
https://www.future.edu	span			We are a proud member of the Peace Corps Paul D. Coverdell Fellows program and offer a 25% tuition reduction rate towards the Master of Arts in Applied Community Development. We maintain our position as the most competitively priced institution and offer the applied component, regardless of location.
https://www.future.edu	span			Certificates
https://www.future.edu	span			Test the waters, enhance your education and experience, and earn credits in our Certificate in Community Development. Learn more about our Certificates and other professional development opportunities.
https://www.future.edu	h3			Contact
https://www.future.edu	a		br	400 Road Less Traveled
https://www.future.edu	a			 Franklin, WV. 26807
https://www.future.edu	a			Call (304)358-2000
https://www.future.edu	div		a	Email: 
https://www.future.edu	a			info@future.edu
https://www.future.edu	a			Academics
https://www.future.edu	a			Admissions & Aid
https://www.future.edu	a			Certificates & Diplomas
https://www.future.edu	a			Master’s Degree
https://www.future.edu	a			Right To Know
https://www.future.edu	a			Global Network
https://www.future.edu	a			Linguistic Development Education
https://www.future.edu	a			Join Our Team​​
https://www.future.edu	h3			Connect
https://www.future.edu	a			Donate​​
https://www.future.edu	a			About Us
https://www.future.edu	a			Contact Us
https://www.future.edu	a			Donate
https://www.future.edu	div			 © 2019 Future Generations University           
https://www.future.edu	a		div	ABOUT
https://www.future.edu	a		div	ACADEMICS
https://www.future.edu	a		div	RESEARCH
https://www.future.edu/blog	label			Search for:
https://www.future.edu/blog	span			Search
https://www.future.edu/blog	a	div		Powered by Ajaxy
https://www.future.edu/blog	a			Home
https://www.future.edu/blog	span			MENU
https://www.future.edu/blog	span	span		MENU
https://www.future.edu/blog	a		span	ABOUT
https://www.future.edu/blog	a			ABOUT US
https://www.future.edu/blog	a			FACULTY AND STAFF
https://www.future.edu/blog	a			TRUSTEES
https://www.future.edu/blog	a			ADVISORY COUNCIL
https://www.future.edu/blog	a			PRESIDENT
https://www.future.edu/blog	a		span	ACADEMICS
https://www.future.edu/blog	a			MASTER'S DEGREE
https://www.future.edu/blog	a			FOR STUDENTS
