url	parent	ps	ns	text
http://es.globaluniversity.edu	div		a	ÍNDICE:    
http://es.globaluniversity.edu	a			English
http://es.globaluniversity.edu	a			Inicio
http://es.globaluniversity.edu	a			Quiénes Somos
http://es.globaluniversity.edu	a			Carta del Presidente
http://es.globaluniversity.edu	a			Acreditación
http://es.globaluniversity.edu	a			Perfil académico
http://es.globaluniversity.edu	a			Contáctenos
http://es.globaluniversity.edu	a			Sitios Web de las Oficinas Nacionales
http://es.globaluniversity.edu	a			Noticias
http://es.globaluniversity.edu	a			Admisiones
http://es.globaluniversity.edu	a			Solicite Información
http://es.globaluniversity.edu	a			Catálogos
http://es.globaluniversity.edu	a			Solicitud de Ingreso para Estudios de Pregrado
http://es.globaluniversity.edu	a			Solicitud de Ingreso para Escuela de la Biblia Berea
http://es.globaluniversity.edu	a			Escuelas
http://es.globaluniversity.edu	a			Facultad de Estudios de Postgrado
http://es.globaluniversity.edu	a			Facultad de Estudios de Pregrado
http://es.globaluniversity.edu	a			Escuela de la Biblia Berea
http://es.globaluniversity.edu	a			Escuela de Evangelismo y Discipulado
http://es.globaluniversity.edu	a			Estudiantes
http://es.globaluniversity.edu	a			Graduación
http://es.globaluniversity.edu	a			Biblioteca (Inglés)
http://es.globaluniversity.edu	a			Student Portal (Inglés)
http://es.globaluniversity.edu	a			Online Store (Inglés)
http://es.globaluniversity.edu	a			Correo-E
http://es.globaluniversity.edu	a			Grupos de Estudio
http://es.globaluniversity.edu	a			Done
http://es.globaluniversity.edu	a			Give to Missions (Inglés)
http://es.globaluniversity.edu	a			Give to Evangelism (Inglés)
http://es.globaluniversity.edu	span			LOGIN
http://es.globaluniversity.edu	a			STUDENT PORTAL
http://es.globaluniversity.edu	a			EXÁMENES BEREA
http://es.globaluniversity.edu	a			CORREO-E
http://es.globaluniversity.edu	a			BEREAN STUDY GROUP PORTAL
http://es.globaluniversity.edu	a			LIBRARY
http://es.globaluniversity.edu	a			INTERNATIONAL NETWORK SERVICES
http://es.globaluniversity.edu	a			ONLINE STORE
http://es.globaluniversity.edu	span			INFO PARA USTED
http://es.globaluniversity.edu	div			SOLICITE INFORMACIÓN
http://es.globaluniversity.edu	div		br	       ¿Está interesado en aprender más acerca de Global University? Haga clic a continuación para enviarnos su información y un representante se comunicará enseguida.
http://es.globaluniversity.edu	a			» Conozca más
http://es.globaluniversity.edu	div			ESTUDIOS DE POSTGRADO
http://es.globaluniversity.edu	div		br	       La Facultad de Estudios de Postgrado de Teología, en español, existe para preparar a los alumnos a vivir y ministrar en varias culturas a través de investigación individual, aplicación académica personal, y concientización cultural. La facultad provee estudio especializado y avanzado de la Biblia y materias relacionadas a un nivel post universitario de licenciatura.
http://es.globaluniversity.edu	a			» Más Información
http://es.globaluniversity.edu	div			ESTUDIOS DE PREGRADO
http://es.globaluniversity.edu	div		br	       La Facultad de Estudios de Pregrado de Biblia y Teología ofrece programas de estudio diseñados para ministros, estudiantes ministeriales y obreros laicos que desean estudios profundos en el área de educación bíblica a nivel universitario.
http://es.globaluniversity.edu	div			LA ESCUELA DE LA BIBLIA BEREA
http://es.globaluniversity.edu	div		br	      La Escuela de la Biblia Berea es un programa educativo de educación continua que existe para ayudar a los creyentes a responder al llamado de Dios en sus vidas. La escuela provee una preparación de alta calidad a bajo costo para el liderazgo de las iglesias, laicos y para el enriquecimiento de conocimiento personal de los creyentes–todo dentro del contexto de la iglesia y la comunidad local. La Escuela de la Biblia Berea esta integrada a Global University para facilitar un aprendizaje para toda la vida. 
http://es.globaluniversity.edu	div			EVANGELISMO Y DISCIPULADO
http://es.globaluniversity.edu	div		br	       El propósito de la Escuela de Evangelismo y Discipulado de Global University es alcanzar a los perdidos utilizando todo medio posible. Los materiales de evangelismo varían desde historietas ilustradas y currículo infantil hasta libros para estudiantes universitarios. Utilizados en más de 175 países y en más de 120 idiomas, estos materiales de Vida Cristiana son ideales para estudio en grupo o individual.
http://es.globaluniversity.edu	span			NOTICE OF DATA SECURITY EVENT
http://es.globaluniversity.edu	span			NOTICIAS
http://es.globaluniversity.edu	span			Actualizaciones de la política: Embalaje y materiales para Estudios de Grupo
http://es.globaluniversity.edu	div		br	Actualizaciones de la política: Embalaje y materiales para Estudios de Grupo
http://es.globaluniversity.edu	a			Leer más...
http://es.globaluniversity.edu	span			GLOBAL UNIVERSITY
http://es.globaluniversity.edu	br	span	br	  1211 S. Glenstone Ave, Springfield, MO 65804
http://es.globaluniversity.edu	br		br	1.800.443.1083 | 417.862.9533
http://es.globaluniversity.edu	br			es.globaluniversity.edu  
http://es.globaluniversity.edu	span			CONÉCTESE A GU:
http://es.globaluniversity.edu/index.cfm	div		a	ÍNDICE:    
http://es.globaluniversity.edu/index.cfm	a			English
http://es.globaluniversity.edu/index.cfm	a			Inicio
http://es.globaluniversity.edu/index.cfm	a			Quiénes Somos
http://es.globaluniversity.edu/index.cfm	a			Carta del Presidente
http://es.globaluniversity.edu/index.cfm	a			Acreditación
http://es.globaluniversity.edu/index.cfm	a			Perfil académico
http://es.globaluniversity.edu/index.cfm	a			Contáctenos
http://es.globaluniversity.edu/index.cfm	a			Sitios Web de las Oficinas Nacionales
http://es.globaluniversity.edu/index.cfm	a			Noticias
http://es.globaluniversity.edu/index.cfm	a			Admisiones
http://es.globaluniversity.edu/index.cfm	a			Solicite Información
http://es.globaluniversity.edu/index.cfm	a			Catálogos
http://es.globaluniversity.edu/index.cfm	a			Solicitud de Ingreso para Estudios de Pregrado
http://es.globaluniversity.edu/index.cfm	a			Solicitud de Ingreso para Escuela de la Biblia Berea
http://es.globaluniversity.edu/index.cfm	a			Escuelas
http://es.globaluniversity.edu/index.cfm	a			Facultad de Estudios de Postgrado
http://es.globaluniversity.edu/index.cfm	a			Facultad de Estudios de Pregrado
http://es.globaluniversity.edu/index.cfm	a			Escuela de la Biblia Berea
http://es.globaluniversity.edu/index.cfm	a			Escuela de Evangelismo y Discipulado
http://es.globaluniversity.edu/index.cfm	a			Estudiantes
http://es.globaluniversity.edu/index.cfm	a			Graduación
http://es.globaluniversity.edu/index.cfm	a			Biblioteca (Inglés)
http://es.globaluniversity.edu/index.cfm	a			Student Portal (Inglés)
http://es.globaluniversity.edu/index.cfm	a			Online Store (Inglés)
http://es.globaluniversity.edu/index.cfm	a			Correo-E
http://es.globaluniversity.edu/index.cfm	a			Grupos de Estudio
http://es.globaluniversity.edu/index.cfm	a			Done
http://es.globaluniversity.edu/index.cfm	a			Give to Missions (Inglés)
http://es.globaluniversity.edu/index.cfm	a			Give to Evangelism (Inglés)
http://es.globaluniversity.edu/index.cfm	span			LOGIN
http://es.globaluniversity.edu/index.cfm	a			STUDENT PORTAL
http://es.globaluniversity.edu/index.cfm	a			EXÁMENES BEREA
http://es.globaluniversity.edu/index.cfm	a			CORREO-E
http://es.globaluniversity.edu/index.cfm	a			BEREAN STUDY GROUP PORTAL
http://es.globaluniversity.edu/index.cfm	a			LIBRARY
http://es.globaluniversity.edu/index.cfm	a			INTERNATIONAL NETWORK SERVICES
http://es.globaluniversity.edu/index.cfm	a			ONLINE STORE
http://es.globaluniversity.edu/index.cfm	span			INFO PARA USTED
http://es.globaluniversity.edu/index.cfm	div			SOLICITE INFORMACIÓN
http://es.globaluniversity.edu/index.cfm	div		br	       ¿Está interesado en aprender más acerca de Global University? Haga clic a continuación para enviarnos su información y un representante se comunicará enseguida.
http://es.globaluniversity.edu/index.cfm	a			» Conozca más
http://es.globaluniversity.edu/index.cfm	div			ESTUDIOS DE POSTGRADO
http://es.globaluniversity.edu/index.cfm	div		br	       La Facultad de Estudios de Postgrado de Teología, en español, existe para preparar a los alumnos a vivir y ministrar en varias culturas a través de investigación individual, aplicación académica personal, y concientización cultural. La facultad provee estudio especializado y avanzado de la Biblia y materias relacionadas a un nivel post universitario de licenciatura.
http://es.globaluniversity.edu/index.cfm	a			» Más Información
http://es.globaluniversity.edu/index.cfm	div			ESTUDIOS DE PREGRADO
