url	parent	ps	ns	text
https://www.kwu.edu/calendar	a			Skip to main content
https://www.kwu.edu/calendar	span			Search form
https://www.kwu.edu/calendar	label			Search 
https://www.kwu.edu/calendar	a			Directory
https://www.kwu.edu/calendar	a			KWU Email
https://www.kwu.edu/calendar	a			My KWU
https://www.kwu.edu/calendar	a			Campus Map
https://www.kwu.edu/calendar	a			Canvas
https://www.kwu.edu/calendar	a			Buy Textbooks
https://www.kwu.edu/calendar	a			Calendar
https://www.kwu.edu/calendar	a			Box Office
https://www.kwu.edu/calendar	a			Apply »
https://www.kwu.edu/calendar	a			Donate »
https://www.kwu.edu/calendar	a			Get Info »
https://www.kwu.edu/calendar	span			Quick Links
https://www.kwu.edu/calendar	a			About
https://www.kwu.edu/calendar	a			News
https://www.kwu.edu/calendar	a			Employment Opportunities
https://www.kwu.edu/calendar	a			Our Mission
https://www.kwu.edu/calendar	a			Social Media
https://www.kwu.edu/calendar	a			Consumer Information
https://www.kwu.edu/calendar	a			Future Students
https://www.kwu.edu/calendar	a			Apply Today!
https://www.kwu.edu/calendar	a			Undergraduate
https://www.kwu.edu/calendar	a			Graduate
https://www.kwu.edu/calendar	a			M.B.A.
https://www.kwu.edu/calendar	a			About KWU
https://www.kwu.edu/calendar	a			Why  Choose KWU?
https://www.kwu.edu/calendar	a			Schedule a Campus Visit
https://www.kwu.edu/calendar	a			Tuition and Scholarships
https://www.kwu.edu/calendar	a			Summer Orientation
https://www.kwu.edu/calendar	a			Current Students
https://www.kwu.edu/calendar	a			Academic Calendar
https://www.kwu.edu/calendar	a			Academic Departments
https://www.kwu.edu/calendar	a			Enrollment & Registration
https://www.kwu.edu/calendar	a			Financing Your Education
https://www.kwu.edu/calendar	a			Student Development
https://www.kwu.edu/calendar	a			Albert Nelson Student Success Center
https://www.kwu.edu/calendar	a			Fitness Center 
https://www.kwu.edu/calendar	a			Spring Commencement 2020
https://www.kwu.edu/calendar	a			Parent Information
https://www.kwu.edu/calendar	a			Academics
https://www.kwu.edu/calendar	a			Course Schedule
https://www.kwu.edu/calendar	a			Course Catalog
https://www.kwu.edu/calendar	a			Honors
https://www.kwu.edu/calendar	a			Memorial Library
https://www.kwu.edu/calendar	a			The Wesleyan Journey
https://www.kwu.edu/calendar	a			The Washington Center Collaboration 
https://www.kwu.edu/calendar	a			Athletics
https://www.kwu.edu/calendar	a			Alumni
https://www.kwu.edu/calendar	a			Request a Transcript
https://www.kwu.edu/calendar	a			Update Your Information
https://www.kwu.edu/calendar	a			Join the Alumni Association
https://www.kwu.edu/calendar	a			Read the Contact Magazine
https://www.kwu.edu/calendar	a			Campus Calendar
https://www.kwu.edu/calendar	a			Alumni Overview
https://www.kwu.edu/calendar	a			Make a Gift
https://www.kwu.edu/calendar	a			Lifetime Alumni Assoc. Members
https://www.kwu.edu/calendar	a			Online
https://www.kwu.edu/calendar	a			Criminal Justice
https://www.kwu.edu/calendar	a			Emergency Management
https://www.kwu.edu/calendar	a			R.N. to B.S. - Nursing
https://www.kwu.edu/calendar	h2			You are here
https://www.kwu.edu/calendar	a			Home
https://www.kwu.edu/calendar	p			 » Campus Calendar      
https://www.kwu.edu/calendar	h1			Campus Calendar
https://www.kwu.edu/calendar	a			Main Campus Calendar
https://www.kwu.edu/calendar	a			Box Office (ticketed events only)
https://www.kwu.edu/calendar	p			-------
https://www.kwu.edu/calendar	span			It's easier to donate than ever before! Simply click on the donate button below, and PayPal will process your gift! We thank you so much for your investment in KWU and our students!
https://www.kwu.edu/calendar	a			Department and Event Calendars
https://www.kwu.edu/calendar	a			Fine Arts Calendar
https://www.kwu.edu/calendar	a			Home Athletics Schedule
https://www.kwu.edu/calendar	h2			Quick Facts
https://www.kwu.edu/calendar	li			KWU turned 133 years old in September!
https://www.kwu.edu/calendar	li	li		We offer four online degrees.
https://www.kwu.edu/calendar	li	li		Our multi-purpose sports complex and arena are top in the conference.
https://www.kwu.edu/calendar	li	li		KWU is located in Salina, KS, a thriving arts community.
https://www.kwu.edu/calendar	a			See more
https://www.kwu.edu/calendar	h2			Popular Links
https://www.kwu.edu/calendar	a			Financial Aid
https://www.kwu.edu/calendar	a			News & Happenings
https://www.kwu.edu/calendar	a			Online Offerings
https://www.kwu.edu/calendar	a			Quick Facts
https://www.kwu.edu/calendar	a			Graduation Info
https://www.kwu.edu/calendar	a			NCATE Accreditation
https://www.kwu.edu/calendar	h2			Contact
https://www.kwu.edu/calendar	p		br	Kansas Wesleyan University
https://www.kwu.edu/calendar	p		br	 100 E. Claflin Ave.
https://www.kwu.edu/calendar	p			 Salina, KS 67401
https://www.kwu.edu/calendar	a			785.827.5541
https://www.kwu.edu/calendar	a			DIRECTORY
https://www.kwu.edu/calendar	h2			Connect With Us
https://www.kwu.edu/calendar	span			Facebook
https://www.kwu.edu/calendar	span			Twitter
https://www.kwu.edu/calendar	span			LinkedIn
https://www.kwu.edu/calendar	span			YouTube
https://www.kwu.edu/calendar	span			Instagram
https://www.kwu.edu/calendar	a			Contact Us
https://www.kwu.edu/calendar	p			Copyright © 
https://www.kwu.edu/calendar	p		a	 | Kansas Wesleyan University is an equal opportunity educator and employer | 
https://www.kwu.edu/calendar	a			Policies
https://www.kwu.edu/calendar	a			Translate site
https://www.kwu.edu/graduation2020	a			Skip to main content
https://www.kwu.edu/graduation2020	span			Search form
https://www.kwu.edu/graduation2020	label			Search 
https://www.kwu.edu/graduation2020	a			Directory
https://www.kwu.edu/graduation2020	a			KWU Email
https://www.kwu.edu/graduation2020	a			My KWU
https://www.kwu.edu/graduation2020	a			Campus Map
https://www.kwu.edu/graduation2020	a			Canvas
https://www.kwu.edu/graduation2020	a			Buy Textbooks
https://www.kwu.edu/graduation2020	a			Calendar
https://www.kwu.edu/graduation2020	a			Box Office
https://www.kwu.edu/graduation2020	a			Apply »
https://www.kwu.edu/graduation2020	a			Donate »
https://www.kwu.edu/graduation2020	a			Get Info »
https://www.kwu.edu/graduation2020	span			Quick Links
https://www.kwu.edu/graduation2020	a			About
https://www.kwu.edu/graduation2020	a			News
https://www.kwu.edu/graduation2020	a			Employment Opportunities
https://www.kwu.edu/graduation2020	a			Our Mission
https://www.kwu.edu/graduation2020	a			Social Media
https://www.kwu.edu/graduation2020	a			Consumer Information
https://www.kwu.edu/graduation2020	a			Future Students
https://www.kwu.edu/graduation2020	a			Apply Today!
https://www.kwu.edu/graduation2020	a			Undergraduate
https://www.kwu.edu/graduation2020	a			Graduate
https://www.kwu.edu/graduation2020	a			M.B.A.
https://www.kwu.edu/graduation2020	a			About KWU
https://www.kwu.edu/graduation2020	a			Why  Choose KWU?
https://www.kwu.edu/graduation2020	a			Schedule a Campus Visit
https://www.kwu.edu/graduation2020	a			Tuition and Scholarships
https://www.kwu.edu/graduation2020	a			Summer Orientation
https://www.kwu.edu/graduation2020	a			Current Students
https://www.kwu.edu/graduation2020	a			Academic Calendar
https://www.kwu.edu/graduation2020	a			Academic Departments
https://www.kwu.edu/graduation2020	a			Enrollment & Registration
https://www.kwu.edu/graduation2020	a			Financing Your Education
https://www.kwu.edu/graduation2020	a			Student Development
https://www.kwu.edu/graduation2020	a			Albert Nelson Student Success Center
https://www.kwu.edu/graduation2020	a			Fitness Center 
https://www.kwu.edu/graduation2020	a			Spring Commencement 2020
https://www.kwu.edu/graduation2020	a			Parent Information
https://www.kwu.edu/graduation2020	a			Academics
https://www.kwu.edu/graduation2020	a			Course Schedule
https://www.kwu.edu/graduation2020	a			Course Catalog
https://www.kwu.edu/graduation2020	a			Honors
https://www.kwu.edu/graduation2020	a			Memorial Library
https://www.kwu.edu/graduation2020	a			The Wesleyan Journey
https://www.kwu.edu/graduation2020	a			The Washington Center Collaboration 
https://www.kwu.edu/graduation2020	a			Athletics
https://www.kwu.edu/graduation2020	a			Alumni
https://www.kwu.edu/graduation2020	a			Request a Transcript
https://www.kwu.edu/graduation2020	a			Update Your Information
https://www.kwu.edu/graduation2020	a			Join the Alumni Association
https://www.kwu.edu/graduation2020	a			Read the Contact Magazine
https://www.kwu.edu/graduation2020	a			Campus Calendar
https://www.kwu.edu/graduation2020	a			Alumni Overview
https://www.kwu.edu/graduation2020	a			Make a Gift
https://www.kwu.edu/graduation2020	a			Lifetime Alumni Assoc. Members
https://www.kwu.edu/graduation2020	a			Online
https://www.kwu.edu/graduation2020	a			Criminal Justice
https://www.kwu.edu/graduation2020	a			Emergency Management
https://www.kwu.edu/graduation2020	a			R.N. to B.S. - Nursing
https://www.kwu.edu/graduation2020	h2			You are here
https://www.kwu.edu/graduation2020	a			Home
https://www.kwu.edu/graduation2020	p			 » Spring Commencement 2020      
https://www.kwu.edu/graduation2020	h1			Spring Commencement 2020
https://www.kwu.edu/graduation2020	span			Commencement Information
https://www.kwu.edu/graduation2020	span			What You Need to Know
