url	parent	ps	ns	text
https://www.montreat.edu/calendar	a			Admissions
https://www.montreat.edu/calendar	a			Academics
https://www.montreat.edu/calendar	a			Student Life
https://www.montreat.edu/calendar	a			News
https://www.montreat.edu/calendar	a			Athletics
https://www.montreat.edu/calendar	a			Give
https://www.montreat.edu/calendar	a			myMontreat
https://www.montreat.edu/calendar	span			Select Page
https://www.montreat.edu/calendar	h1			January 2020
https://www.montreat.edu/calendar	h2			Events Search and Views Navigation
https://www.montreat.edu/calendar	span			       Show Events Search     
https://www.montreat.edu/calendar	h3			Events Search
https://www.montreat.edu/calendar	label			Events In
https://www.montreat.edu/calendar	h3			Event Views Navigation
https://www.montreat.edu/calendar	label			       View As     
https://www.montreat.edu/calendar	option			List
https://www.montreat.edu/calendar	option	option		Month
https://www.montreat.edu/calendar	option	option		Day
https://www.montreat.edu/calendar	a			 December 
https://www.montreat.edu/calendar	a		span	February 
https://www.montreat.edu/calendar	h2			Calendar of Events
https://www.montreat.edu/calendar	caption			Calendar of Events
https://www.montreat.edu/calendar	th			Sunday
https://www.montreat.edu/calendar	th			Monday
https://www.montreat.edu/calendar	th			Tuesday
https://www.montreat.edu/calendar	th			Wednesday
https://www.montreat.edu/calendar	th			Thursday
https://www.montreat.edu/calendar	th			Friday
https://www.montreat.edu/calendar	th			Saturday
https://www.montreat.edu/calendar	a			Christmas (college closed)
https://www.montreat.edu/calendar	a			  Export Events
https://www.montreat.edu/calendar	a			Visit
https://www.montreat.edu/calendar	a			Apply for FREE
https://www.montreat.edu/calendar	a			Undergraduate
https://www.montreat.edu/calendar	a			Adult & Graduate
https://www.montreat.edu/calendar	a			Online
https://www.montreat.edu/calendar	a			Tuition & Aid
https://www.montreat.edu/calendar	a			Academic Catalog
https://www.montreat.edu/calendar	a			About
https://www.montreat.edu/calendar	a			Mission
https://www.montreat.edu/calendar	a			Leadership
https://www.montreat.edu/calendar	a			Locations
https://www.montreat.edu/calendar	a			Event Services
https://www.montreat.edu/calendar	a			Weddings
https://www.montreat.edu/calendar	a			Reflection Magazine
https://www.montreat.edu/calendar	a			Jobs
https://www.montreat.edu/calendar	a			Special Events
https://www.montreat.edu/calendar	a			Chaplain’s Office
https://www.montreat.edu/calendar	a			Student Services
https://www.montreat.edu/calendar	a			Montreat Blog
https://www.montreat.edu/calendar	a			Bookstore
https://www.montreat.edu/calendar	a			Library
https://www.montreat.edu/calendar	a			Thrive Center
https://www.montreat.edu/calendar	a			Quick Links
https://www.montreat.edu/calendar	a			Current Students
https://www.montreat.edu/calendar	a			Faculty & Staff
https://www.montreat.edu/calendar	a			Alumni
https://www.montreat.edu/calendar	a			Support Montreat
https://www.montreat.edu/calendar	a			Calendar
https://www.montreat.edu/calendar	a			Directory
https://www.montreat.edu/calendar	a			Registrar
https://www.montreat.edu/calendar	span			Facebook
https://www.montreat.edu/calendar	span			Twitter
https://www.montreat.edu/calendar	span			Instagram
https://www.montreat.edu/calendar	span			Vimeo
https://www.montreat.edu/calendar	span			YouTube
https://www.montreat.edu/calendar	p		a	© 2020 Montreat College | 
https://www.montreat.edu/calendar	a			Privacy Policy and Terms of Service
https://www.montreat.edu/calendar	p		a	310 Gaither Circle | P.O. Box 1267 | Montreat, NC 28757 |  
https://www.montreat.edu/calendar	a			828.669.8012
https://www.montreat.edu/calendar	a			admissions@montreat.edu
https://www.montreat.edu/calendar	a			Consumer Information
https://www.montreat.edu/calendar	a			Accreditation
https://www.montreat.edu/calendar	a			Campus Safety
https://www.montreat.edu/calendar	a			Title IX
https://www.montreat.edu/calendar	a			Military Students
https://www.montreat.edu/calendar	a			Academic Calendars
https://www.montreat.edu/calendar	span		a	This website uses cookies to improve your experience. 
https://www.montreat.edu/calendar	a			Read More
https://www.montreat.edu/calendar	a	a		ACCEPT
https://www.montreat.edu/calendar	span			Privacy & Cookies Policy
https://www.montreat.edu/calendar	h4			Privacy Overview
https://www.montreat.edu/calendar	div			This website uses cookies to improve your experience while you navigate through the website. Out of these cookies, the cookies that are categorized as necessary are stored on your browser as they are essential for the working of basic functionalities of the website. We also use third-party cookies that help us analyze and understand how you use this website. These cookies will be stored in your browser only with your consent. You also have the option to opt-out of these cookies. But opting out of some of these cookies may have an effect on your browsing experience.
https://www.montreat.edu/calendar	a			                         Privacy Overview                    
https://www.montreat.edu/calendar	p			This website uses cookies to improve your experience while you navigate through the website. Out of these cookies, the cookies that are categorized as necessary are stored on your browser as they are essential for the working of basic functionalities of the website. We also use third-party cookies that help us analyze and understand how you use this website. These cookies will be stored in your browser only with your consent. You also have the option to opt-out of these cookies. But opting out of some of these cookies may have an effect on your browsing experience.
https://www.montreat.edu/calendar	a			                             Necessary                          
https://www.montreat.edu/calendar	span			Always Enabled
https://www.montreat.edu/calendar	p			Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.
https://www.montreat.edu/calendar	a			                             Non-necessary                          
https://www.montreat.edu/calendar	label			Non-necessary
https://www.montreat.edu/calendar	p			Any cookies that may not be particularly necessary for the website to function and is used specifically to collect user personal data via analytics, ads, other embedded contents are termed as non-necessary cookies. It is mandatory to procure user consent prior to running these cookies on your website.
https://www.montreat.edu/calendar/2019-12-30	a			Admissions
https://www.montreat.edu/calendar/2019-12-30	a			Academics
https://www.montreat.edu/calendar/2019-12-30	a			Student Life
https://www.montreat.edu/calendar/2019-12-30	a			News
https://www.montreat.edu/calendar/2019-12-30	a			Athletics
https://www.montreat.edu/calendar/2019-12-30	a			Give
https://www.montreat.edu/calendar/2019-12-30	a			myMontreat
https://www.montreat.edu/calendar/2019-12-30	span			Select Page
https://www.montreat.edu/calendar/2019-12-30	h1			December 30, 2019
https://www.montreat.edu/calendar/2019-12-30	h2			Events Search and Views Navigation
https://www.montreat.edu/calendar/2019-12-30	span			       Show Events Search     
