url	parent	ps	ns	text
https://50.mvnu.edu	a			Events
https://50.mvnu.edu	a			Golden Stories
https://50.mvnu.edu	a			From The Archives
https://50.mvnu.edu	a			Give
https://50.mvnu.edu	a			Homecoming
https://50.mvnu.edu	strong			Welcome to the official website of MVNU’s 50th Anniversary!
https://50.mvnu.edu	p			Together we tell our story from founding days to the present through the voices and landmark moments of the university’s seven presidents, notable alumni, faculty, staff, and friends. Together we share the history, legacy, and vision that defined who we are and shaped our purpose and mission. This is just the first part of our journey leading up to the fall where we will explore the second 25 years.
https://50.mvnu.edu	h2			EVENTS
https://50.mvnu.edu	div			Oct
https://50.mvnu.edu	h4			CAMPUS CELEBRATION
https://50.mvnu.edu	p		sup	On Oct. 12 we celebrated the 50
https://50.mvnu.edu	p		a	 anniversary of the first day of MVNC classes with a special chapel service and other exciting activities throughout the day! The Mount Vernon community joined us as we celebrated how our community helped bring MVNU to life! Mount Vernon Mayor Richard Mavis was one of the special guests in chapel this day. Here are some 
https://50.mvnu.edu	a			photos of the day
https://50.mvnu.edu	p		b	Highlights: 
https://50.mvnu.edu	b			A special community chapel
https://50.mvnu.edu	p		b	, 10:15 a.m., R.R. Hodges Chapel Auditorium | 
https://50.mvnu.edu	b			The Stephen W. Nease Center Ribbon Cutting
https://50.mvnu.edu	p		b	, 1:30 p.m., 104 S. Main Street | 
https://50.mvnu.edu	b			Stephen W. Nease Center; Open House
https://50.mvnu.edu	p			, 2-7 p.m. 
https://50.mvnu.edu	div			Nov
https://50.mvnu.edu	a			HOMECOMING
https://50.mvnu.edu	p		sup	Homecoming was the pinnacle event for MVNU's 50
https://50.mvnu.edu	p		a	 anniversary, including celebratory Cougar Basketball, the MVNU Alumni Experience, the fall play, and more! Visit this 
https://50.mvnu.edu	a			link for Homecoming photos!
https://50.mvnu.edu	p			The Mount Vernon Church of the Nazarene congregations, along with MVNU alumni, students, and guests, joined in one, united service, celebrating the work of God through our church and university community. This service was highlighted by General Superintendent Emeritus Dr. Jesse Middendorf's message of congratulations and challenge for the next 50 years.
https://50.mvnu.edu	a			GOLDEN GALA
https://50.mvnu.edu	p		a	"On November 10 the Donoho Recreation Center was transformed into a lighted display with live music, award presentations, and enlivening entertainment for the Golden Gala event. At this event it was announced the ""Project 50"" since renamed the Soccer and Lacrosse Stadium. For photos of the Gala please "
https://50.mvnu.edu	a			visit this link!
https://50.mvnu.edu	div			Dec
https://50.mvnu.edu	h4			MESSIAH
https://50.mvnu.edu	p		a	Mount Vernon Nazarene University presented the 51st annual performance of G. F. Handel’s Messiah on Sunday, Dec. 2 in the R.R. Hodges Chapel/Auditorium on the MVNU campus. For photos of the event please 
https://50.mvnu.edu	a			SEE ALL EVENTS
https://50.mvnu.edu	h2			GOLDEN STORIES
https://50.mvnu.edu	i			Click for story.
https://50.mvnu.edu	h4			Roberta Simmons
https://50.mvnu.edu	h4			Joseph Lechner
https://50.mvnu.edu	h4			Randall Davey
https://50.mvnu.edu	h4			Linda Nease Scott
https://50.mvnu.edu	h4			Percy Morrison
https://50.mvnu.edu	h4			Lora Donoho
https://50.mvnu.edu	h4			Prince Student Union
https://50.mvnu.edu	h4			Ariel Arena
https://50.mvnu.edu	h4			The Mount Vernon Grand Hotel
https://50.mvnu.edu	a			SEE MORE STORIES
https://50.mvnu.edu	a			SHARE YOUR STORY
https://50.mvnu.edu	h2			FROM THE ARCHIVES
https://50.mvnu.edu	h4			1968-69
https://50.mvnu.edu	h4			The Pioneer Years
https://50.mvnu.edu	p			This was the beginning. New buildings, new faces, new experiences met the Pioneer Class as they arrived at MVNC. Excitement mingled with anticipation, hours of work and prayer, the old and the new, the constant, the special, all combined to form the miracle of the beginning.
https://50.mvnu.edu	h4			1970-79
https://50.mvnu.edu	h4			Growing with Grace
https://50.mvnu.edu	p			From the first four-year degrees to formal accreditation, MVNC grew with each passing year in academics, spiritual life, and community. Construction was a main focus for the development of the campus and new leadership made sacrificial progress that forged a way for those to come. 
https://50.mvnu.edu	h4			1980-89
https://50.mvnu.edu	h4			Making Dreams Reality
https://50.mvnu.edu	p			Coming into its own, MVNC grew in identity as it maintained steady growth in enrollment, noteworthy athletic achievements, and finalized plans to construct the R.R. Hodges Chapel/Auditorium and Fine Arts Center. This lifelong vision of its founders became a reality as the college celebrated its 20th Anniversary.
https://50.mvnu.edu	h4			1990-93
https://50.mvnu.edu	h4			The First 25 Years
https://50.mvnu.edu	p			The last decade of the 20th century was just another starting point for MVNC. From the 25th Anniversary to the development of a robust and strategic building plan, the college kept moving forward through faith, support, and purpose.
