url	parent	ps	ns	text
http://sites.saic.edu/lowres2017	a			Exhibition Information
http://sites.saic.edu/lowres2017	a			Artists
http://sites.saic.edu/lowres2017	a			Curatorial Teams
http://sites.saic.edu/lowres2017	a			Events & Programming
http://sites.saic.edu/lowres2017	a			Low-Res MFA Screening
http://sites.saic.edu/lowres2017	a			saic.edu/endofyear
http://sites.saic.edu/lowres2017	span			Thomas Dexter
http://sites.saic.edu/lowres2017	span			Rebby M – TNKRT
http://sites.saic.edu/lowres2017	span			Katherine Finkelstein
http://sites.saic.edu/lowres2017	span	img		Clareese Grace Hill
http://sites.saic.edu/lowres2017	span	img		Susan Krueger-Barber
http://sites.saic.edu/lowres2017	span	img		Michelle Carrasquilla
http://sites.saic.edu/lowres2017	span	img		Gina Kelly
http://sites.saic.edu/lowres2017	span	img		Louise Captein
http://sites.saic.edu/lowres2017	span	img		Kioto Aoki
http://sites.saic.edu/lowres2017	span	img		Erin Schalk
http://sites.saic.edu/lowres2017	span	img		Jenny Keyser
http://sites.saic.edu/lowres2017	span	img		Patricia RAIN Gianneschi
http://sites.saic.edu/lowres2017	span	img		Monica Guidry Kelsie
http://sites.saic.edu/lowres2017	span	img		J Turk
http://sites.saic.edu/lowres2017	span	img		Zsuzsanna Szegedi-Varga
http://sites.saic.edu/lowres2017	span	img		Claire Pope
http://sites.saic.edu/lowres2017	span	img		Clareese Hill
http://sites.saic.edu/lowres2017	span	img		Jannell Turner
http://sites.saic.edu/lowres2017	span	img		Arielle Tonkin
http://sites.saic.edu/lowres2017	span	img		Griz E Strüss
http://sites.saic.edu/lowres2017	span	img		Ali Medina
http://sites.saic.edu/lowres2017	span	img		Meryl Feigenberg
http://sites.saic.edu/lowres2017	span	img		Scott Easson
http://sites.saic.edu/lowres2017	span	img		Isidore Bethel
http://sites.saic.edu/lowres2017	span	img		Ellie Hazlett
http://www.saic.edu	a			SAIC
http://www.saic.edu	a		i	Menu 
http://www.saic.edu	a			Apply Now
http://www.saic.edu	a			Donate Now
http://www.saic.edu	li			School
http://www.saic.edu	a			Museum
http://www.saic.edu	a			Request Info
http://www.saic.edu	a			Apply
http://www.saic.edu	a			Visit
http://www.saic.edu	a			Support SAIC
http://www.saic.edu	a			Diversity
http://www.saic.edu	a			View Work
http://www.saic.edu	a			Calendar
http://www.saic.edu	a			News
http://www.saic.edu	span		i	RESOURCES FOR...
http://www.saic.edu	a		i	Future Students 
http://www.saic.edu	a			Undergraduate
http://www.saic.edu	a			Graduate
http://www.saic.edu	a			Current Students
http://www.saic.edu	a			Alumni
http://www.saic.edu	a			Parents
http://www.saic.edu	a			Employers
http://www.saic.edu	a			Faculty
http://www.saic.edu	a			Staff
http://www.saic.edu	a			Press
http://www.saic.edu	a			About
http://www.saic.edu	a			Welcome to SAIC
http://www.saic.edu	a			Core Values
http://www.saic.edu	a			Strategic Initiatives
http://www.saic.edu	a			History & Quick Facts
http://www.saic.edu	a			Timeline
http://www.saic.edu	a			Enrollment
http://www.saic.edu	a			Building History
http://www.saic.edu	a			Consumer Information
http://www.saic.edu	a			Notable Alumni
http://www.saic.edu	a			Citizen Artist
http://www.saic.edu	a			Mission and Governance
http://www.saic.edu	a			Office of the President
http://www.saic.edu	a			About Our Provost
http://www.saic.edu	a			About Our Dean of Faculty
http://www.saic.edu	a			Board of Governors
http://www.saic.edu	a			Non-Discrimination Policy
http://www.saic.edu	a			Title IX Coordinator
http://www.saic.edu	a			Accreditation
http://www.saic.edu	a			Faculty Positions
http://www.saic.edu	a			Staff Positions
http://www.saic.edu	a			SAIC Ballroom Rental
http://www.saic.edu	a			Campus Security
http://www.saic.edu	a			How to Respond to an Emergency
http://www.saic.edu	a			Campus Map [PDF]
http://www.saic.edu	a			SAIC Store
http://www.saic.edu	strong			SAIC Recognized again for Excellence in Diversity
http://www.saic.edu	span			Learn about our efforts toward supporting and building a 
http://www.saic.edu	a	span		diverse community
http://www.saic.edu	a			Academics
http://www.saic.edu	a			Areas of Study
http://www.saic.edu	a			Academic Departments
http://www.saic.edu	a			Undergraduate Degrees
http://www.saic.edu	a			Graduate Degrees
http://www.saic.edu	a		br	Post-Baccalaureate & 
http://www.saic.edu	a			Professional Certificates
http://www.saic.edu	a			Courses
http://www.saic.edu	a			Study Abroad/Off-Campus
http://www.saic.edu	a			Registration and Records
http://www.saic.edu	a			Libraries and Special Collections
http://www.saic.edu	a			Academic Services
http://www.saic.edu	a			Careers and Internships
http://www.saic.edu	p		a	SAIC’s new faculty members represent a diverse range of practices, media, and methodologies and exemplify SAIC’s focus on interdisciplinary studies.         
http://www.saic.edu	a			Read more
http://www.saic.edu	a			Admissions
http://www.saic.edu	a			Freshmen
http://www.saic.edu	a			Transfer
http://www.saic.edu	a			Virtual Tour
http://www.saic.edu	a		br	Financial Aid 
http://www.saic.edu	a			& Tuition
http://www.saic.edu	a			Financial Aid
