url	parent	ps	ns	text
https://calendar.lib.vt.edu/event/6143740	a			Skip to Main Content
https://calendar.lib.vt.edu/event/6143740	a			Virginia Tech University Libraries
https://calendar.lib.vt.edu/event/6143740	a			Library Events
https://calendar.lib.vt.edu/event/6143740	a			Events
https://calendar.lib.vt.edu/event/6143740	li			amplifying unheard voices: a community-based symposium
https://calendar.lib.vt.edu/event/6143740	div			Your browser has javascript disabled. Without javascript some functions will not work.
https://calendar.lib.vt.edu/event/6143740	h1			amplifying unheard voices: a community-based symposium
https://calendar.lib.vt.edu/event/6143740	h2			Event box 
https://calendar.lib.vt.edu/event/6143740	span	i		Print the page
https://calendar.lib.vt.edu/event/6143740	span	i		Add to a Calendar using iCal
https://calendar.lib.vt.edu/event/6143740	span	i		Share page on Facebook
https://calendar.lib.vt.edu/event/6143740	span	i		Share page on Twitter
https://calendar.lib.vt.edu/event/6143740	strong			Listen, 
https://calendar.lib.vt.edu/event/6143740	strong			partner, 
https://calendar.lib.vt.edu/event/6143740	strong			change.
https://calendar.lib.vt.edu/event/6143740	p			Many groups in Southwest Virginia are largely invisible in media and research, despite being integral to the fabric of our communities. Academics and community members are invited to come listen and honor those stories and get the chance to partner directly in community-based research.
https://calendar.lib.vt.edu/event/6143740	p		a	In the morning, four community members (below) will share their personal story and the unanswered questions they raise. Poet and poverty abolitionist 
https://calendar.lib.vt.edu/event/6143740	a			Julia Dinsmore
https://calendar.lib.vt.edu/event/6143740	p			 will serve as Keynote Listener, reflecting on themes that emerge from the stories. After lunch, participants will join one or more speakers to begin imagining together how research could justly address the questions of the morning. Each speaker will collaborate with interested participants to make those dreams a reality by conducting and publishing peer-reviewed research with support from the University Libraries.
https://calendar.lib.vt.edu/event/6143740	p			Speakers include:
https://calendar.lib.vt.edu/event/6143740	em			Hannah Martin
https://calendar.lib.vt.edu/event/6143740	li			, LGBT veteran, small-scale farmer, and potter
https://calendar.lib.vt.edu/event/6143740	em			Victoria Ferguson
https://calendar.lib.vt.edu/event/6143740	li			, Monacan Indian tribal elder and cultural steward
https://calendar.lib.vt.edu/event/6143740	em			Chris Alderman
https://calendar.lib.vt.edu/event/6143740	li			, recovering substance user and peer recovery advocate
https://calendar.lib.vt.edu/event/6143740	em			Hothaifa Abu Samra
https://calendar.lib.vt.edu/event/6143740	li			, Syrian refugee and community college student
https://calendar.lib.vt.edu/event/6143740	p		a	This event is meant to inspire and equip long-term collaboration between Virginia Tech and community groups. It is open to anyone and meant to be a safe, accessible space for all. Speaker's stories will be video-recorded and archived, but to ensure everyone has power over their own story, we ask others not to record or share interactions without express permission. If you desire an accommodation, please contact Nathaniel Porter at (540)232-8478 or 
https://calendar.lib.vt.edu/event/6143740	a			ndporter@vt.edu
https://calendar.lib.vt.edu/event/6143740	p			 at least 10 days prior to the event.
https://calendar.lib.vt.edu/event/6143740	p		a	This event is cosponsored by 
https://calendar.lib.vt.edu/event/6143740	a			University Libraries
https://calendar.lib.vt.edu/event/6143740	a			Center for Humanities
https://calendar.lib.vt.edu/event/6143740	p		a	, and the Advancing the Human Condition Symposium/
https://calendar.lib.vt.edu/event/6143740	a			Office for Inclusion and Diversity
https://calendar.lib.vt.edu/event/6143740	p		a	. For more details on the event, visit 
https://calendar.lib.vt.edu/event/6143740	a			the event FAQ
https://calendar.lib.vt.edu/event/6143740	p			"Feature Image: Eddie and Charlie Proudfoot. ""Mixed Up Model."" Used by permission."
https://calendar.lib.vt.edu/event/6143740	strong			Related LibGuide: 
https://calendar.lib.vt.edu/event/6143740	a			Diversity and Inclusion by Rita McCandless
https://calendar.lib.vt.edu/event/6143740	dt			Date:
https://calendar.lib.vt.edu/event/6143740	dd			Tuesday, January 14, 2020                             
https://calendar.lib.vt.edu/event/6143740	dt			Time:
https://calendar.lib.vt.edu/event/6143740	dd			9:00am  - 3:00pm
https://calendar.lib.vt.edu/event/6143740	dt			Location:
https://calendar.lib.vt.edu/event/6143740	dd			Multipurpose Room (Newman 101)
https://calendar.lib.vt.edu/event/6143740	dt			Campus:
https://calendar.lib.vt.edu/event/6143740	dd			Blacksburg Campus
https://calendar.lib.vt.edu/event/6143740	dt			Audience:
https://calendar.lib.vt.edu/event/6143740	a			Advanced
https://calendar.lib.vt.edu/event/6143740	a			Alumni
https://calendar.lib.vt.edu/event/6143740	a			Beginners
https://calendar.lib.vt.edu/event/6143740	a			Faculty/Staff
https://calendar.lib.vt.edu/event/6143740	a			Graduate Students
https://calendar.lib.vt.edu/event/6143740	a			Public
https://calendar.lib.vt.edu/event/6143740	a			Undergraduates
https://calendar.lib.vt.edu/event/6143740	dt			Categories: 
https://calendar.lib.vt.edu/event/6143740	a			Event > Data Science
https://calendar.lib.vt.edu/event/6143740	a			Event
https://calendar.lib.vt.edu/event/6143740	p			* Required Field
https://calendar.lib.vt.edu/event/6143740	span			Name *
https://calendar.lib.vt.edu/event/6143740	label			First Name
https://calendar.lib.vt.edu/event/6143740	label			Last Name
https://calendar.lib.vt.edu/event/6143740	label			             Email                     
https://calendar.lib.vt.edu/event/6143740	legend			Which of the following descriptions do you identify with? Check as many as fit. *
https://calendar.lib.vt.edu/event/6143740	label			                             VT Faculty/Staff                         
https://calendar.lib.vt.edu/event/6143740	label			                             VT Graduate/Professional Student                         
https://calendar.lib.vt.edu/event/6143740	label			                             VT Undergraduate Student                         
https://calendar.lib.vt.edu/event/6143740	label			                             Community Member                         
https://calendar.lib.vt.edu/event/6143740	legend			Would you like to be contacted prior to the event about accommodations or other questions or concerns? *
https://calendar.lib.vt.edu/event/6143740	label			                         Yes, please                     
https://calendar.lib.vt.edu/event/6143740	label			                         No, thank you                     
https://calendar.lib.vt.edu/event/6143740	label			(Optional) Please describe any dietary restrictions or food sensitivities so we can ensure lunch fits your needs.
https://calendar.lib.vt.edu/event/6143740	label			Question
https://calendar.lib.vt.edu/event/6143740	label			Number of people attending?
https://calendar.lib.vt.edu/event/6143740	button			Begin Registration
https://calendar.lib.vt.edu/event/6143740	h2			Event Contact 
https://calendar.lib.vt.edu/event/6143740	div			Nathaniel Porter
https://calendar.lib.vt.edu/event/6143740	p			Social Science Data Consultant and Data Education Coordinator
https://calendar.lib.vt.edu/event/6143740	span			Powered by
https://calendar.lib.vt.edu/event/6143740	a			Springshare
https://calendar.lib.vt.edu/event/6143740	div			             All rights reserved.         
https://calendar.lib.vt.edu/event/6143740	a			Report a tech support issue.
https://calendar.lib.vt.edu/event/6143740	a			Login to LibApps
https://calendar.lib.vt.edu/event/6143740	option			Cymraeg
https://calendar.lib.vt.edu/event/6143740	option			English
https://calendar.lib.vt.edu/event/6143740	option			español
https://calendar.lib.vt.edu/event/6143740	option			français
https://calendar.lib.vt.edu/event/6143740	option			slovenski jezik
https://calendar.lib.vt.edu/event/6143740	a	br		Contact Virginia Tech
https://calendar.lib.vt.edu/event/6143740	a	br		Privacy
https://calendar.lib.vt.edu/event/6143740	a	br		Acceptable Use
https://calendar.lib.vt.edu/event/6143740	p			© 2019 Virginia Polytechnic Institute and State University
https://calendar.lib.vt.edu/event/6143740	h4			Contact
https://calendar.lib.vt.edu/event/6143740	p		br	University Libraries (0434)
https://calendar.lib.vt.edu/event/6143740	p		br	 Carol M. Newman Library, Virginia Tech
https://calendar.lib.vt.edu/event/6143740	p		br	 560 Drillfield Drive
https://calendar.lib.vt.edu/event/6143740	p		br	 Blacksburg, VA 24061
https://calendar.lib.vt.edu/event/6143740	a			(540) 231-9232
https://calendar.lib.vt.edu/event/6143740	a			Staff Directory
https://calendar.lib.vt.edu/event/6143740	h4			Libraries
https://calendar.lib.vt.edu/event/6143740	a			Art & Architecture Library
https://calendar.lib.vt.edu/event/6143740	a			Veterinary Medicine Library
https://calendar.lib.vt.edu/event/6143740	a			NVC Resource Center
https://calendar.lib.vt.edu/event/6143740	a			Library Service Center
https://calendar.lib.vt.edu/event/6143740	a			Virginia Tech Carilion School of Medicine Library
https://calendar.lib.vt.edu/event/6143740	a			Employment
https://calendar.lib.vt.edu/event/6143740	a			Feedback & Comments
https://calendar.lib.vt.edu/event/6143740	a			Hours
https://calendar.lib.vt.edu/event/6143740	a			Visitor Information
https://calendar.lib.vt.edu/event/6143740	a			Site Map
https://calendar.lib.vt.edu/event/6143740	a			Staff Only
https://calendar.lib.vt.edu/event/6143740	h4			Follow Us:
https://calendar.lib.vt.edu/event/6143740	span			Find us on Facebook
https://calendar.lib.vt.edu/event/6143740	span			Follow us on Twitter
https://calendar.lib.vt.edu/event/6143740	span			 Follow us on Youtube
https://calendar.lib.vt.edu/event/6143740	span			Follow us on Instagram
https://calendar.lib.vt.edu/event/6143740	a			 Give to the Libraries
https://lib.vt.edu	span			Universal Access Toggle
https://lib.vt.edu	div			Universal Access
https://lib.vt.edu	span			Close Universal Access dialog
https://lib.vt.edu	span			Universal Access Options
https://lib.vt.edu	span	img		Skip to main content
https://lib.vt.edu	span	img		Report a barrier
https://lib.vt.edu	span	img	span	Turn link underline 
https://lib.vt.edu	span	span		Off
https://lib.vt.edu	span	img		Accessibility portal
https://lib.vt.edu	a			Apply
https://lib.vt.edu	a			Visit
https://lib.vt.edu	a			Give
https://lib.vt.edu	a			Shop
https://lib.vt.edu	span			Resources for
https://lib.vt.edu	a			Future Students
https://lib.vt.edu	a			Current Students
https://lib.vt.edu	a			Parents and Families
https://lib.vt.edu	a			Faculty and Staff
https://lib.vt.edu	a			Alumni
https://lib.vt.edu	a			Industry and Partners
https://lib.vt.edu	span			Menu
https://lib.vt.edu	a			University Libraries
https://lib.vt.edu	a			Find & Borrow
https://lib.vt.edu	span			Find & Borrow Submenu Toggle
https://lib.vt.edu	a			Additional Online Tools
https://lib.vt.edu	a			Advanced Search
https://lib.vt.edu	a			Ask a Librarian
https://lib.vt.edu	a			Books & Media
https://lib.vt.edu	a			Course Reserves
https://lib.vt.edu	a			Databases
https://lib.vt.edu	a			Equipment Lending
https://lib.vt.edu	a			FAQs
https://lib.vt.edu	a			Geospatial Data
https://lib.vt.edu	a			Hours
https://lib.vt.edu	a			Institutional Repository
https://lib.vt.edu	a			Interlibrary Loan
https://lib.vt.edu	a			Journals
https://lib.vt.edu	a			My Library Account
https://lib.vt.edu	a			Off Campus Access
https://lib.vt.edu	a			Open Data Repository
https://lib.vt.edu	a			Special Collections and University Archives
https://lib.vt.edu	a			Subject Specialists
https://lib.vt.edu	a			Research Guides
https://lib.vt.edu	a			Wireless Access
https://lib.vt.edu	a			Research & Teaching
https://lib.vt.edu	span			Research & Teaching Submenu Toggle
https://lib.vt.edu	a			Athenaeum
https://lib.vt.edu	a			Book a Consultation
https://lib.vt.edu	a			Classroom & Meeting Spaces
https://lib.vt.edu	a			Data Consulting Lab
https://lib.vt.edu	a			Data Services
https://lib.vt.edu	a			Data Visualization Studio
https://lib.vt.edu	a			Digital Literacy
https://lib.vt.edu	a			Exhibits
https://lib.vt.edu	a			Instruction & Workshops
https://lib.vt.edu	a			Learning Object Repository
https://lib.vt.edu	a			Open Access - Open Knowledge
https://lib.vt.edu	a			Reserve a Room
https://lib.vt.edu	a			Scholarly Communication
https://lib.vt.edu	a			Southwest Virginia Digital Library
https://lib.vt.edu	a			VR Research & Projects
https://lib.vt.edu	a			VT GitHub
https://lib.vt.edu	a			VT Publishing
https://lib.vt.edu	a			Study & Learn
https://lib.vt.edu	span			Study & Learn Submenu Toggle
https://lib.vt.edu	a			Borrow Books & Media
https://lib.vt.edu	a			CommLab
https://lib.vt.edu	a			Copyright Information
https://lib.vt.edu	a			ePortfolios
https://lib.vt.edu	a			Events
https://lib.vt.edu	a			Library Locations
https://lib.vt.edu	a			Print, Scan, Copy, or Fax
https://lib.vt.edu	a			Studios
https://lib.vt.edu	a			Study Spaces
https://lib.vt.edu	a			Writing Center
https://lib.vt.edu	a			Create & Share
https://lib.vt.edu	span			Create & Share Submenu Toggle
https://lib.vt.edu	a			3D Design Studio
https://lib.vt.edu	a			Data Viz Studio
https://lib.vt.edu	a			Fusion Studio
https://lib.vt.edu	a			Media Design Studio A
https://lib.vt.edu	a			Media Design Studio B
https://lib.vt.edu	a			Virtual Environments Studio
https://lib.vt.edu	a			About
https://lib.vt.edu	span			About Submenu Toggle
https://lib.vt.edu	a			Annual Reports
https://lib.vt.edu	a			Aspirational Identity
https://lib.vt.edu	a			Creativity & Innovation District
https://lib.vt.edu	a			Give to the Library
https://lib.vt.edu	a			Grants & Awards
https://lib.vt.edu	a			Global Engagement
https://lib.vt.edu	a			Libraries & Locations
https://lib.vt.edu	a			News & Stories
https://lib.vt.edu	a			Organizational Chart
https://lib.vt.edu	a			Strategic Plans
https://lib.vt.edu	a			Student Employment
https://lib.vt.edu	a			Visitor Information
https://lib.vt.edu	a			Welcome from the Dean
https://lib.vt.edu	a			Site Map
https://lib.vt.edu	a			Staff Directory
https://lib.vt.edu	a			Open Access - Big Deal
https://lib.vt.edu	span			Open Access - Big Deal Submenu Toggle
https://lib.vt.edu	a			Open Values
https://lib.vt.edu	a			Alternative Access to Articles
https://lib.vt.edu	a			Frequently Asked Questions
https://lib.vt.edu	a			Latest developments at Virginia Tech
https://lib.vt.edu	a			News
https://lib.vt.edu	a			Open Publishing Resources
