url	parent	ps	ns	text
http://directory.wvstateu.edu	strong			 WVSU Directory
http://directory.wvstateu.edu	h6			To search for someone, fill in one or more of the fields below.
http://directory.wvstateu.edu	span			First Name:
http://directory.wvstateu.edu	label		br	Last Name:
http://directory.wvstateu.edu	div			Department:
http://directory.wvstateu.edu	option	option		ADVANCEMENT DEPARTMENT
http://directory.wvstateu.edu	option	option		ALUMNI RELATIONS
http://directory.wvstateu.edu	option	option		ART DEPT
http://directory.wvstateu.edu	option	option		ATHLETICS - ADMINISTRATIVE
http://directory.wvstateu.edu	option	option		ATHLETIC TRAINING
http://directory.wvstateu.edu	option	option		BASEBALL - MEN
http://directory.wvstateu.edu	option	option		BASKETBALL - MEN
http://directory.wvstateu.edu	option	option		BASKETBALL - WOMEN
http://directory.wvstateu.edu	option	option		BIOLOGY DEPT
http://directory.wvstateu.edu	option	option		BLDG & EQUIPMENT MAINTENANCE
http://directory.wvstateu.edu	option	option		BOOKSTORE
http://directory.wvstateu.edu	option	option		BUSINESS ADMINISTRATION DEPT
http://directory.wvstateu.edu	option	option		CAPITAL CENTER MANAGEMENT
http://directory.wvstateu.edu	option	option		CAREER SERVICES & CO OP EDUCATION
http://directory.wvstateu.edu	option	option		CHEMISTRY DEPT
http://directory.wvstateu.edu	option	option		COLLEGE OF ARTS & HUMANITIES - DEAN
http://directory.wvstateu.edu	option	option		COLL OF BUSINESS & SOC SCIENCE
http://directory.wvstateu.edu	option	option		COLL OF NATRL SCIENCE & MATH - DEAN
http://directory.wvstateu.edu	option	option		COLL OF PROFESSIONAL STUDIES - DEAN
http://directory.wvstateu.edu	option	option		COMMUNICATIONS DEPT
http://directory.wvstateu.edu	option	option		COORDINATOR - RBA DEGREE PRGRM
http://directory.wvstateu.edu	option	option		COUNSELING ACAD SUPP SERV CASS
http://directory.wvstateu.edu	option	option		CRIMINAL JUSTICE DEPT
http://directory.wvstateu.edu	option	option		CULTURAL ACTIVITIES
http://directory.wvstateu.edu	option	option		EARLY ENROLLMENT
http://directory.wvstateu.edu	option	option		EDUCATION DEPT
http://directory.wvstateu.edu	option	option		ENGLISH AS A SECOND LANGUAGE
http://directory.wvstateu.edu	option	option		ENGLISH DEPT
http://directory.wvstateu.edu	option	option		FISCAL AFFAIRS
http://directory.wvstateu.edu	option	option		FOOTBALL - MEN
http://directory.wvstateu.edu	option	option		FOREIGN LANGUAGE DEPT
http://directory.wvstateu.edu	option	option		GENERAL EDUCATION
http://directory.wvstateu.edu	option	option		HISTORY PROGRAM
http://directory.wvstateu.edu	option	option		HLTH & HUMAN PERFORMANCE DEPT
http://directory.wvstateu.edu	option	option		HUMAN RESOURCES OFFICE
http://directory.wvstateu.edu	option	option		INFORMATION TECHNOLOGY IT- ADMINIST
http://directory.wvstateu.edu	option	option		INTERNATIONAL STUDIES
http://directory.wvstateu.edu	option	option		LANDSCAPE & GROUNDS MAINTENANCE
http://directory.wvstateu.edu	option	option		LIBRARY
http://directory.wvstateu.edu	option	option		MAILROOM
http://directory.wvstateu.edu	option	option		MATHEMATICS DEPT
http://directory.wvstateu.edu	option	option		MILITARY SCIENCE DEPT
http://directory.wvstateu.edu	option	option		MOTOR VEHICLE OPERATIONS
http://directory.wvstateu.edu	option	option		MUSIC DEPT
http://directory.wvstateu.edu	option	option		OFFICE OF ADMISSIONS
http://directory.wvstateu.edu	option	option		OFFICE OF THE PRESIDENT
http://directory.wvstateu.edu	option	option		OFFICE OF THE REGISTRAR
http://directory.wvstateu.edu	option	option		PHOTOGRAPHY
http://directory.wvstateu.edu	option	option		PHYSICAL FACILITIES
http://directory.wvstateu.edu	option	option		PHYSICAL FACILITIES SUPPORT SERVICE
http://directory.wvstateu.edu	option	option		PHYSICS DEPT
http://directory.wvstateu.edu	option	option		POLITICAL SCIENCE PROGRAM
http://directory.wvstateu.edu	option	option		PSYCHOLOGY PROGRAM
http://directory.wvstateu.edu	option	option		RESEARCH AND DEVELOPMENT, CORP.
http://directory.wvstateu.edu	option	option		RESIDENCE LIFE & SERVICES
http://directory.wvstateu.edu	option	option		SECURITY SERVICE
http://directory.wvstateu.edu	option	option		SOCIAL AND BEHAVIORIAL SCIENCES
http://directory.wvstateu.edu	option	option		SOCIAL WORK DEPT
http://directory.wvstateu.edu	option	option		SOCIOLOGY PROGRAM
http://directory.wvstateu.edu	option	option		SOFTBALL - WOMEN
http://directory.wvstateu.edu	option	option		STUDENT FINANCIAL ASSISTANCE OFFICE
http://directory.wvstateu.edu	option	option		STUDENT SUPPORT SERVICES FY11 TO 15
http://directory.wvstateu.edu	option	option		STUDENT UNION
http://directory.wvstateu.edu	option	option		TENNIS - WOMEN
http://directory.wvstateu.edu	option	option		TITLE IV E SOCIAL SERVICES TRAINING
http://directory.wvstateu.edu	option	option		U ATHLETIC COMPLIANCE
