url	parent	ps	ns	text
https://alumni.worcester.edu/daa2019	label			Search Content: 
https://alumni.worcester.edu/daa2019	a			Academics
https://alumni.worcester.edu/daa2019	a			Admissions
https://alumni.worcester.edu/daa2019	a			Life at WSU
https://alumni.worcester.edu/daa2019	a			Community Impact
https://alumni.worcester.edu/daa2019	a			WSU Home
https://alumni.worcester.edu/daa2019	a			Worcester State Alumni Home
https://alumni.worcester.edu/daa2019	a			About
https://alumni.worcester.edu/daa2019	a			Alumni Benefits & Services
https://alumni.worcester.edu/daa2019	a			Contact Us
https://alumni.worcester.edu/daa2019	a			FAQ
https://alumni.worcester.edu/daa2019	a			Fast Facts
https://alumni.worcester.edu/daa2019	a			Meet the Staff
https://alumni.worcester.edu/daa2019	a			Support
https://alumni.worcester.edu/daa2019	a			Events
https://alumni.worcester.edu/daa2019	a			Alumni Calendar
https://alumni.worcester.edu/daa2019	a			Distinguished Alumni Awards
https://alumni.worcester.edu/daa2019	a			Golf Tournament
https://alumni.worcester.edu/daa2019	a			Homecoming
https://alumni.worcester.edu/daa2019	a			Networking Events
https://alumni.worcester.edu/daa2019	a			Regional Alumni Events
https://alumni.worcester.edu/daa2019	a			Reunions
https://alumni.worcester.edu/daa2019	a			WSU Events
https://alumni.worcester.edu/daa2019	a			News
https://alumni.worcester.edu/daa2019	a			Alumni News
https://alumni.worcester.edu/daa2019	a			Class Webpages
https://alumni.worcester.edu/daa2019	a			Career Center
https://alumni.worcester.edu/daa2019	a			eNewsletter Archives
https://alumni.worcester.edu/daa2019	a			Worcester State Magazine
https://alumni.worcester.edu/daa2019	a			Donor Impact Statement & President's Reports
https://alumni.worcester.edu/daa2019	a			Yearbooks
https://alumni.worcester.edu/daa2019	a			Get Involved
https://alumni.worcester.edu/daa2019	a			Alumni Association's Advisory Board
https://alumni.worcester.edu/daa2019	a			Class Agent Program
https://alumni.worcester.edu/daa2019	a			Lifetime Lancers 
https://alumni.worcester.edu/daa2019	a			Reach Out & Touch Somebody's Hand
https://alumni.worcester.edu/daa2019	a			WSU Alumni Advisor Network
https://alumni.worcester.edu/daa2019	a			Young Alumni
https://alumni.worcester.edu/daa2019	a			Giving to WSU
https://alumni.worcester.edu/daa2019	a			University Advancement
https://alumni.worcester.edu/daa2019	a			Make A Gift
https://alumni.worcester.edu/daa2019	a			March Madness Days of Giving
https://alumni.worcester.edu/daa2019	a			Gifts at Work
https://alumni.worcester.edu/daa2019	a			Donor Recognition Societies
https://alumni.worcester.edu/daa2019	a			Worcester State Foundation
https://alumni.worcester.edu/daa2019	a			Foundations & Corporations
https://alumni.worcester.edu/daa2019	a			Scholarships
https://alumni.worcester.edu/daa2019	a			End of Year Giving Options
https://alumni.worcester.edu/daa2019	a			Member Tools
https://alumni.worcester.edu/daa2019	a			First Time Login
https://alumni.worcester.edu/daa2019	a			Login
https://alumni.worcester.edu/daa2019	a			Find a Member
https://alumni.worcester.edu/daa2019	a			Worcester State University
https://alumni.worcester.edu/daa2019	span	span		close
https://alumni.worcester.edu/daa2019	a			Home
https://alumni.worcester.edu/daa2019	a			DAA Nomination Form
https://alumni.worcester.edu/daa2019	a			Departmental Reunions
https://alumni.worcester.edu/daa2019	div			     Header    
https://alumni.worcester.edu/daa2019	div			     Content    
https://alumni.worcester.edu/daa2019	span			2019 Distinguished Alumni Awards Dinner
https://alumni.worcester.edu/daa2019	span			Friday, September 27, 2019
https://alumni.worcester.edu/daa2019	strong			Worcester State University ~ Wellness Center
https://alumni.worcester.edu/daa2019	span			Cocktails at 6:00 p.m.
https://alumni.worcester.edu/daa2019	span			Dinner at 6:30 p.m.
https://alumni.worcester.edu/daa2019	span			$30 per person
https://alumni.worcester.edu/daa2019	span			 The Distinguished Alumni Awards are the highest non-degree honor bestowed by the University on an alumnus or alumna.
https://alumni.worcester.edu/daa2019	strong		br	Outstanding Volunteer Service to the Community
https://alumni.worcester.edu/daa2019	em	strong		Michael Patrick Lyons, M.Ed. ’10
https://alumni.worcester.edu/daa2019	strong		br	Outstanding Achievement in the Field of Education
https://alumni.worcester.edu/daa2019	em			Frances Friedman ’69
https://alumni.worcester.edu/daa2019	strong		br	Distinguished Professional Achievement
https://alumni.worcester.edu/daa2019	em	strong		Nancy J. (Murdock) Hardy ’97
https://alumni.worcester.edu/daa2019	strong		br	Outstanding Young Alumna
https://alumni.worcester.edu/daa2019	em	strong		Amy L. (Wilfong) Peterson ’03
https://alumni.worcester.edu/daa2019	strong		br	Outstanding Service to Alma Mater
https://alumni.worcester.edu/daa2019	em	strong		Blair E. Deeney ’73
https://alumni.worcester.edu/daa2019	h3			Contact Information
https://alumni.worcester.edu/daa2019	h4			Primary Contact
https://alumni.worcester.edu/daa2019	div		br	Alumni  Office at Worcester State University
https://alumni.worcester.edu/daa2019	div			Administration Building ~ Room 231
https://alumni.worcester.edu/daa2019	div			486 Chandler Street
https://alumni.worcester.edu/daa2019	div		font	Worcester
https://alumni.worcester.edu/daa2019	div			MA        01602
https://alumni.worcester.edu/daa2019	div			508-929-8141
https://alumni.worcester.edu/daa2019	div			alumni@worcester.edu
https://alumni.worcester.edu/daa2019	h3			Date & Location
https://alumni.worcester.edu/daa2019	strong			Date:
https://alumni.worcester.edu/daa2019	div		br	 9/27/2019
https://alumni.worcester.edu/daa2019	strong			Time:
https://alumni.worcester.edu/daa2019	br			 6:00 PM
https://alumni.worcester.edu/daa2019	font			Location:
https://alumni.worcester.edu/daa2019	div		div	 Worcester State University~ Wellness Center       
https://alumni.worcester.edu/daa2019	span			For a directions and a map of campus, visit 
https://alumni.worcester.edu/daa2019	a			www.worcester.edu/directions
https://alumni.worcester.edu/daa2019	a			Athletics
https://alumni.worcester.edu/daa2019	a			Bookstore
https://alumni.worcester.edu/daa2019	a			Careers at WSU
https://alumni.worcester.edu/daa2019	a			Directions
https://alumni.worcester.edu/daa2019	a			Emergency Info
https://alumni.worcester.edu/daa2019	a			Administrative Offices
https://alumni.worcester.edu/daa2019	a			Campus Map
https://alumni.worcester.edu/daa2019	a			Sitemap
https://alumni.worcester.edu/daa2019	div		span	Copyright © 
https://alumni.worcester.edu/daa2019	div		br	 Worcester State University
https://alumni.worcester.edu/daa2019	div			  486 Chandler St, Worcester, MA 01602 | 508-929-8000  
https://alumni.worcester.edu/homecoming2019	label			Search Content: 
https://alumni.worcester.edu/homecoming2019	a			Academics
https://alumni.worcester.edu/homecoming2019	a			Admissions
https://alumni.worcester.edu/homecoming2019	a			Life at WSU
https://alumni.worcester.edu/homecoming2019	a			Community Impact
https://alumni.worcester.edu/homecoming2019	a			WSU Home
https://alumni.worcester.edu/homecoming2019	a			Worcester State Alumni Home
https://alumni.worcester.edu/homecoming2019	a			About
https://alumni.worcester.edu/homecoming2019	a			Alumni Benefits & Services
https://alumni.worcester.edu/homecoming2019	a			Contact Us
https://alumni.worcester.edu/homecoming2019	a			FAQ
https://alumni.worcester.edu/homecoming2019	a			Fast Facts
https://alumni.worcester.edu/homecoming2019	a			Meet the Staff
https://alumni.worcester.edu/homecoming2019	a			Support
https://alumni.worcester.edu/homecoming2019	a			Events
https://alumni.worcester.edu/homecoming2019	a			Alumni Calendar
https://alumni.worcester.edu/homecoming2019	a			Distinguished Alumni Awards
https://alumni.worcester.edu/homecoming2019	a			Golf Tournament
https://alumni.worcester.edu/homecoming2019	a			Homecoming
https://alumni.worcester.edu/homecoming2019	a			Networking Events
https://alumni.worcester.edu/homecoming2019	a			Regional Alumni Events
https://alumni.worcester.edu/homecoming2019	a			Reunions
https://alumni.worcester.edu/homecoming2019	a			WSU Events
https://alumni.worcester.edu/homecoming2019	a			News
https://alumni.worcester.edu/homecoming2019	a			Alumni News
https://alumni.worcester.edu/homecoming2019	a			Class Webpages
https://alumni.worcester.edu/homecoming2019	a			Career Center
https://alumni.worcester.edu/homecoming2019	a			eNewsletter Archives
https://alumni.worcester.edu/homecoming2019	a			Worcester State Magazine
https://alumni.worcester.edu/homecoming2019	a			Donor Impact Statement & President's Reports
https://alumni.worcester.edu/homecoming2019	a			Yearbooks
https://alumni.worcester.edu/homecoming2019	a			Get Involved
https://alumni.worcester.edu/homecoming2019	a			Alumni Association's Advisory Board
https://alumni.worcester.edu/homecoming2019	a			Class Agent Program
https://alumni.worcester.edu/homecoming2019	a			Lifetime Lancers 
https://alumni.worcester.edu/homecoming2019	a			Reach Out & Touch Somebody's Hand
https://alumni.worcester.edu/homecoming2019	a			WSU Alumni Advisor Network
https://alumni.worcester.edu/homecoming2019	a			Young Alumni
https://alumni.worcester.edu/homecoming2019	a			Giving to WSU
https://alumni.worcester.edu/homecoming2019	a			University Advancement
https://alumni.worcester.edu/homecoming2019	a			Make A Gift
https://alumni.worcester.edu/homecoming2019	a			March Madness Days of Giving
https://alumni.worcester.edu/homecoming2019	a			Gifts at Work
https://alumni.worcester.edu/homecoming2019	a			Donor Recognition Societies
https://alumni.worcester.edu/homecoming2019	a			Worcester State Foundation
https://alumni.worcester.edu/homecoming2019	a			Foundations & Corporations
https://alumni.worcester.edu/homecoming2019	a			Scholarships
https://alumni.worcester.edu/homecoming2019	a			End of Year Giving Options
https://alumni.worcester.edu/homecoming2019	a			Member Tools
https://alumni.worcester.edu/homecoming2019	a			First Time Login
https://alumni.worcester.edu/homecoming2019	a			Login
https://alumni.worcester.edu/homecoming2019	a			Find a Member
https://alumni.worcester.edu/homecoming2019	a			Worcester State University
https://alumni.worcester.edu/homecoming2019	span	span		close
https://alumni.worcester.edu/homecoming2019	a			Home
https://alumni.worcester.edu/homecoming2019	a			DAA Nomination Form
https://alumni.worcester.edu/homecoming2019	a			Departmental Reunions
https://alumni.worcester.edu/homecoming2019	div			     Header    
https://alumni.worcester.edu/homecoming2019	div			     Content    
https://alumni.worcester.edu/homecoming2019	span			Schedule of Events
https://alumni.worcester.edu/homecoming2019	span			* Registration Required(coming in August)
https://alumni.worcester.edu/homecoming2019	strong			Friday, September 27
https://alumni.worcester.edu/homecoming2019	span		strong	*6:00 p.m.
https://alumni.worcester.edu/homecoming2019	a			 Annual Distinguished Alumni Awards
https://alumni.worcester.edu/homecoming2019	span			Multipurpose Gym, Wellness Center
https://alumni.worcester.edu/homecoming2019	span			5:00 p.m.
https://alumni.worcester.edu/homecoming2019	span	strong		 WSU Volleyball vs. Fitchburg State
https://alumni.worcester.edu/homecoming2019	span			Competition Gym, Wellness Center
https://alumni.worcester.edu/homecoming2019	span		strong	7:00 p.m.
https://alumni.worcester.edu/homecoming2019	span			 WSU Volleyball vs Trinity
https://alumni.worcester.edu/homecoming2019	strong			Saturday, September 28, 2019
https://alumni.worcester.edu/homecoming2019	span		a	*10:00 a.m. 
